时间,操作类型,操作内容,涉及文件或目录,运行命令,结果,备注
2026-04-27 10:17,政策关联关系,新增明文引用关系识别：仅当新政策明确出现旧政策文号或准确规则名称且上下文含依据、根据、修订等词时建立关系，并在搜索页生成库内跳转,scripts/13_build_policy_relations.py; scripts/09_build_search_page.py; scripts/04_export_excel_workbook.py; 02_元数据/政策关联关系表.csv; 05_输出成果/search.html; 05_输出成果/search_index.json; 02_元数据/知识库管理工作簿.xlsx,13_build_policy_relations.py; 09_build_search_page.py; 04_export_excel_workbook.py,完成,生成明确关系27条，其中文号高置信5条；不做标题相似度推断
2026-04-27 10:26,来源清单采集,按来源清单抓取候选链接，共命中 145 条，扫描来源 39 个,05_输出成果\来源清单候选链接_20260427.csv,D:\miniconda\envs\py311\python.exe .\scripts\02_collect_official_candidates.py --pages 5 --timeout 20 --limit 30,部分完成,关键词：电力市场、交易规则、中长期、现货、辅助服务、省内、省间、容量电价、计量结算、结算、绿电、源网荷储、新能源、获得电力；失败来源 1 个；SRC-M-001 广州市发展和改革委员会-部门文件 :: https://fgw.gz.gov.cn/zfxxgk/zfxxgkml/zfxxgkml/bmwj/ :: The read operation timed out；https://fgw.gz.gov.cn/zfxxgk/zfxxgkml/zfxxgkml/bmwj/index_1.html :: HTTP Error 404: Not Found
2026-04-27 10:28,来源清单采集,按来源清单抓取候选链接，共命中 140 条，扫描来源 39 个,05_输出成果\来源清单候选链接_20260427.csv,D:\miniconda\envs\py311\python.exe .\scripts\02_collect_official_candidates.py --pages 5 --timeout 20 --limit 25,完成,关键词：电力市场、交易规则、中长期、现货、辅助服务、省内、省间、容量电价、计量结算、结算、绿电、源网荷储、新能源、获得电力；失败来源 0 个
2026-04-27 10:31,来源清单采集,按来源清单抓取候选链接，共命中 139 条，扫描来源 39 个,05_输出成果\来源清单候选链接_20260427.csv,D:\miniconda\envs\py311\python.exe .\scripts\02_collect_official_candidates.py --pages 5 --timeout 20 --limit 12,完成,关键词：电力市场、交易规则、中长期、现货、辅助服务、省内、省间、容量电价、计量结算、结算、绿电、源网荷储、新能源、获得电力；失败来源 0 个
2026-04-27 10:34,数据采集,运行种子链接采集脚本，成功40条，失败0条,02_元数据/待采集链接.csv; 02_元数据/政策资料台账.csv; 01_原始资料; 03_处理后文本,D:\miniconda\envs\py311\python.exe .\scripts\01_fetch_seed_urls.py --delay 0.4 --timeout 30,成功,
2026-04-27 10:44,来源清单采集,按来源清单抓取候选链接，共命中 135 条，扫描来源 39 个,05_输出成果\来源清单候选链接_20260427.csv,D:\miniconda\envs\py311\python.exe scripts/02_collect_official_candidates.py --pages 5 --timeout 20 --limit 12,部分完成,关键词：电力市场、交易规则、中长期、现货、辅助服务、省内、省间、容量电价、计量结算、结算、绿电、源网荷储、新能源、获得电力；失败来源 1 个；SRC-M-001 广州市发展和改革委员会-部门文件 :: https://fgw.gz.gov.cn/zfxxgk/zfxxgkml/zfxxgkml/bmwj/ :: The read operation timed out；https://fgw.gz.gov.cn/zfxxgk/zfxxgkml/zfxxgkml/bmwj/index_1.html :: HTTP Error 404: Not Found
2026-04-27 10:46,来源清单采集,按来源清单抓取候选链接，共命中 135 条，扫描来源 39 个,05_输出成果\来源清单候选链接_20260427.csv,D:\miniconda\envs\py311\python.exe scripts/02_collect_official_candidates.py --pages 5 --timeout 20 --limit 12,部分完成,关键词：电力市场、交易规则、中长期、现货、辅助服务、省内、省间、容量电价、计量结算、结算、绿电、源网荷储、新能源、获得电力；失败来源 1 个；SRC-M-003 广州市科学技术局-政府信息公开平台 :: https://kjj.gz.gov.cn/gkmlpt/index :: HTTP Error 504: Gateway Time-out；https://kjj.gz.gov.cn/gkmlpt/index/index_1.html :: HTTP Error 404: Not Found
2026-04-27 10:52,来源清单采集,按来源清单抓取候选链接，共命中 134 条，扫描来源 39 个,05_输出成果\来源清单候选链接_20260427.csv,D:\miniconda\envs\py311\python.exe scripts/02_collect_official_candidates.py --pages 5 --timeout 20 --limit 12,完成,关键词：电力市场、交易规则、中长期、现货、辅助服务、省内、省间、容量电价、计量结算、结算、绿电、源网荷储、新能源、获得电力；失败来源 0 个
2026-04-27 10:56,来源清单采集,按来源清单抓取候选链接，共命中 124 条，扫描来源 39 个,05_输出成果\来源清单候选链接_20260427.csv,D:\miniconda\envs\py311\python.exe scripts/02_collect_official_candidates.py --pages 5 --timeout 20 --limit 12,完成,关键词：电力市场、交易规则、中长期、现货、辅助服务、省内、省间、容量电价、计量结算、结算、绿电、源网荷储、新能源、获得电力；失败来源 0 个
2026-04-27 10:58,数据采集,运行种子链接采集脚本，成功24条，失败0条,02_元数据/待采集链接.csv; 02_元数据/政策资料台账.csv; 01_原始资料; 03_处理后文本,D:\miniconda\envs\py311\python.exe scripts/01_fetch_seed_urls.py --delay 0.4 --timeout 30,成功,
2026-04-27 11:19,来源扩展与政策爬取,第三天扩大官方来源和政策爬取：新增华北、东北、西北、华东4个监管局来源；刷新候选池124条；分两批写入并抓取64条候选链接，其中清理节能报告、获得电力、天然气、外债、新能源汽车等非电力市场噪声9条；最终活跃台账134条。,02_元数据/来源清单.csv;02_元数据/政策资料台账.csv;02_元数据/待采集链接.csv;02_元数据/规则清单.csv;02_元数据/政策关联关系表.csv;05_输出成果/search.html;02_元数据/知识库管理工作簿.xlsx,02_collect_official_candidates.py;06_backfill_candidates_to_seed.py;01_fetch_seed_urls.py;10_audit_titles.py;12_doc_number_and_rule_list.py;13_build_policy_relations.py;03_evaluate_retrieval.py;09_build_search_page.py;04_export_excel_workbook.py;07_search.py --self-check-only,台账134条；规则清单已重建；政策关联关系78条；检索评测Top3命中10/10；搜索页和Excel自检通过。,华东监管局3个PDF为扫描件，pypdf无法抽取正文，已新增未来PDF文本抽取脚本，后续如需全文需要OCR。
2026-04-27 11:25,数据质量修正,清理本地噪声文件并修正本地文件路径：删除已从台账剔除的节能报告、获得电力、营商环境等原始/文本文件14个；将本地文件名中的英文分号替换为下划线，避免与台账路径分隔符冲突。,01_原始资料;03_处理后文本;02_元数据/政策资料台账.csv;02_元数据/规则清单.csv;05_输出成果/search_index.json,Remove-Item 噪声文件; Move-Item 分号文件名; 12_doc_number_and_rule_list.py;13_build_policy_relations.py;03_evaluate_retrieval.py;09_build_search_page.py;04_export_excel_workbook.py,本地路径缺失数=0；台账134条；政策关联关系80条；检索评测Top3命中10/10；搜索页、Excel、全文检索自检通过。,为防止未来再出现分号路径冲突，01_fetch_seed_urls.py 的文件名清洗规则已加入 ; 和 ；。
2026-04-27 18:44,知识切片生成,从处理后文本生成 RAG 知识切片 1277 条，覆盖文件 130 个,02_元数据\知识切片表.csv; 05_输出成果\knowledge_chunks.jsonl,D:\miniconda\envs\py311\python.exe scripts/16_build_knowledge_chunks.py --max-chars 450 --overlap 60 --min-chars 80,完成,max_chars=450; overlap=60; min_chars=80
2026-04-27 18:47,大规模候选池采集,按来源清单进行大规模候选采集，生成候选 5 条,05_输出成果\大规模候选池_20260427.csv; 05_输出成果\大规模候选池_20260427.summary.json,D:\miniconda\envs\py311\python.exe scripts/15_mass_crawl_candidates.py --pages 1 --timeout 12 --limit 12 --min-score 0,完成,pages=1; min_score=0; 扫描来源=39; 失败来源=0
2026-04-27 18:53,大规模候选池采集,按来源清单进行大规模候选采集，生成候选 59 条,05_输出成果\大规模候选池_20260427.csv; 05_输出成果\大规模候选池_20260427.summary.json,D:\miniconda\envs\py311\python.exe scripts/15_mass_crawl_candidates.py --pages 8 --timeout 10 --limit 12 --min-score 0,完成,pages=8; min_score=0; 扫描来源=39; 失败来源=0
2026-04-27 18:57,大规模候选池采集,按来源清单进行大规模候选采集，生成候选 256 条,05_输出成果\大规模候选池_20260427.csv; 05_输出成果\大规模候选池_20260427.summary.json,D:\miniconda\envs\py311\python.exe scripts/15_mass_crawl_candidates.py --pages 25 --timeout 10 --limit 20 --min-score 0,部分完成,pages=25; min_score=0; 扫描来源=39; 失败来源=1
2026-04-27 19:00,数据采集,运行种子链接采集脚本，成功99条，失败1条,02_元数据/待采集链接.csv; 02_元数据/政策资料台账.csv; 01_原始资料; 03_处理后文本,D:\miniconda\envs\py311\python.exe scripts/01_fetch_seed_urls.py --delay 0.25 --timeout 25,部分失败,
2026-04-27 19:03,知识切片生成,从处理后文本生成 RAG 知识切片 1884 条，覆盖文件 198 个,02_元数据\知识切片表.csv; 05_输出成果\knowledge_chunks.jsonl,D:\miniconda\envs\py311\python.exe scripts/16_build_knowledge_chunks.py --max-chars 450 --overlap 60 --min-chars 80,完成,max_chars=450; overlap=60; min_chars=80
