来源编号,来源层级,地区,来源名称,来源类型,主管/发布主体,主站URL,优先入口URL,采集方式,是否纳入自动采集,抓取边界,重点主题,采集优先级,采集频率,状态,备注
SRC-R-004,区域监管,华北区域,国家能源局华北监管局-通知公告,监管规则,国家能源局派出机构,https://hbj.nea.gov.cn/,https://hbj.nea.gov.cn/dtyw/tzgg/,HTML列表,是,只抓通知公告栏目中的市场规则 实施细则 征求意见 不抓一般政务新闻,华北区域监管/省间交易/辅助服务/中长期,A,每周,启用,补齐华北区域监管来源
SRC-R-005,区域监管,东北区域,国家能源局东北监管局-通知公告,监管规则,国家能源局派出机构,https://dbj.nea.gov.cn/,https://dbj.nea.gov.cn/dtyw/tzgg/,HTML列表,是,只抓通知公告栏目中的市场规则 实施细则 征求意见 不抓一般政务新闻,东北区域监管/辅助服务/中长期/现货,A,每周,启用,补齐东北区域监管来源
SRC-R-006,区域监管,西北区域,国家能源局西北监管局-通知公告,监管规则,国家能源局派出机构,https://xbj.nea.gov.cn/,https://xbj.nea.gov.cn/dtyw/tzgg/,HTML列表,是,只抓通知公告栏目中的市场规则 实施细则 征求意见 不抓一般政务新闻,西北区域监管/新能源/辅助服务/中长期,A,每周,启用,补齐西北区域监管来源
SRC-R-007,区域监管,华东区域,国家能源局华东监管局-通知公告,监管规则,国家能源局派出机构,https://hdj.nea.gov.cn/,https://hdj.nea.gov.cn/dtyw/tzgg/,HTML列表,是,只抓通知公告栏目中的市场规则 实施细则 征求意见 不抓一般政务新闻,华东区域监管/现货/辅助服务/中长期,A,每周,启用,补齐华东区域监管来源
SRC-MU-001,直辖市,北京,北京市发展和改革委员会-政策文件,官方政策,北京市发展和改革委员会,https://fgw.beijing.gov.cn/,https://fgw.beijing.gov.cn/fgwzwgk/2024zcwj/,HTML列表,是,只抓政策文件栏目中的正式文件 不抓新闻动态和政策解读,价格政策/能源政策/重点项目/营商环境,A,每周,启用,北京市发改委政策文件入口已核
SRC-MU-002,直辖市,北京,北京市经济和信息化局-政策文件,官方政策,北京市经济和信息化局,https://jxj.beijing.gov.cn/,https://jxj.beijing.gov.cn/zwgk/2024zcwj/,HTML列表,是,只抓政策文件栏目 不抓通知公告中的一般活动信息,工业用电/数字经济/新型工业化/先进能源,B,每周,启用,北京市经信局政策文件入口已核
SRC-MU-003,直辖市,北京,北京市科学技术委员会中关村管委会-政策文件,官方政策,北京市科学技术委员会 中关村科技园区管理委员会,https://kw.beijing.gov.cn/,https://kw.beijing.gov.cn/zwgk/zcwj/,HTML列表,是,只抓政策文件栏目 不抓项目公示和一般新闻,科技创新/新型电力系统技术/产业创新,B,每月,启用,北京市科技口政策入口已核
SRC-MU-004,直辖市,天津,天津市发展和改革委员会-政策法规,官方政策,天津市发展和改革委员会,https://fzgg.tj.gov.cn/,https://fzgg.tj.gov.cn/zwgk_47325/zcfg_47338/,HTML列表,是,只抓政策法规和正式文件 不抓新闻信息和政策解读,电价政策/转供电/节能降碳/营商环境,A,每周,启用,天津市发改委政策法规入口已核
SRC-MU-005,直辖市,天津,天津市工业和信息化局-委局文件,官方政策,天津市工业和信息化局,https://gyxxh.tj.gov.cn/,https://gyxxh.tj.gov.cn/ZWGK4147/ZCWJ6355/wjwj/,HTML列表,是,只抓委局文件和正式通知 不抓专题新闻,工业用电/需求响应/数字化转型/B类辅助依据,B,每周,启用,天津市工信局委局文件入口已核
SRC-MU-006,直辖市,天津,天津市科学技术局-科技局政策文件,官方政策,天津市科学技术局,https://kxjs.tj.gov.cn/,https://kxjs.tj.gov.cn/managecol/ZCWJ0923/kjjzcwj09233/,HTML列表,是,只抓科技局政策文件和市级政策文件 不抓其他资讯,科技创新/产业协同/低碳技术/B类辅助依据,B,每月,启用,天津市科技局政策入口已核
SRC-MU-007,直辖市,上海,上海市发展和改革委员会-政策文件,官方政策,上海市发展和改革委员会,https://fgw.sh.gov.cn/,https://fgw.sh.gov.cn/fgw_zcwjfl/,HTML列表,是,只抓政策文件栏目中的正式文件 不抓新闻动态和问答解读,价格政策/能源政策/重大项目/营商环境,A,每周,启用,上海市发改委政策文件入口已核
SRC-MU-008,直辖市,上海,上海市经济和信息化委员会-政策法规,官方政策,上海市经济和信息化委员会,https://sheitc.sh.gov.cn/,https://www.sheitc.sh.gov.cn/zcfg/,HTML列表,是,只抓政策法规和规范性文件 不抓一般新闻,工业用电/数字经济/制造业转型/B类辅助依据,B,每周,启用,上海市经信委政策法规入口已核
SRC-MU-009,直辖市,上海,上海市科学技术委员会-科技政策,官方政策,上海市科学技术委员会,https://stcsm.sh.gov.cn/,https://stcsm.sh.gov.cn/zwgk/kjzc/zcwj/,HTML列表,是,只抓科技政策和规范性文件 不抓项目申报通知,科技创新/成果转化/产业创新/B类辅助依据,B,每月,启用,上海市科委科技政策入口已核
SRC-MU-010,直辖市,重庆,重庆市发展和改革委员会-政策文件,官方政策,重庆市发展和改革委员会,https://fzggw.cq.gov.cn/,https://fzggw.cq.gov.cn/zwgk/zfxxgkml/zcwj/,HTML列表,是,只抓政策文件和行政规范性文件 不抓一般政务新闻,价格政策/能源政策/重点项目/营商环境,A,每周,启用,重庆市发改委政策文件入口已核
SRC-MU-011,直辖市,重庆,重庆市经济和信息化委员会-行政规范性文件,官方政策,重庆市经济和信息化委员会,https://jjxxw.cq.gov.cn/,https://jjxxw.cq.gov.cn/zwgk_213/zcwj/xzgfxwj/,HTML列表,是,只抓行政规范性文件和正式通知 不抓一般新闻,工业用电/制造业/无线电/数字化/B类辅助依据,B,每周,启用,重庆市经信委规范性文件入口已核
SRC-MU-012,直辖市,重庆,重庆市科学技术局-行政规范性文件,官方政策,重庆市科学技术局,https://kjj.cq.gov.cn/,https://kjj.cq.gov.cn/zwgk_176/zwxxgkml/zcwj/xzgfxwj/,HTML列表,是,只抓行政规范性文件和政策文件 不抓项目公示,科技创新/成果转化/新型电力系统技术/B类辅助依据,B,每月,启用,重庆市科技局规范性文件入口已核
SRC-P-001,省级,广东,广东省发展和改革委员会-政府信息公开平台,官方政策,广东省发展和改革委员会,https://drc.gd.gov.cn/index.html,https://drc.gd.gov.cn/gkmlpt/index,公开平台 半自动,否,重点抓部门文件 规范性文件 通知公告 不抓政策解读新闻,广东电价/电力市场/能源政策/A类省级依据,A,每周,启用,广东省级政策核心来源
SRC-P-002,省级,广东,广东省能源局-通知公告,官方政策,广东省能源局,https://drc.gd.gov.cn/snyj/jggk/mindex.html,https://drc.gd.gov.cn/snyj/tzgg/mindex.html,HTML列表,是,只抓通知公告中的电力市场 年度交易 节能审查和新能源相关正式文件 不抓工作要闻,广东能源管理/电力市场/新能源/A类省级依据,A,每周,启用,广东省能源局网站挂载在省发改委体系内
SRC-P-003,省级,广东,广东省工业和信息化厅-政府信息公开平台,官方政策,广东省工业和信息化厅,https://gdii.gd.gov.cn/,https://gdii.gd.gov.cn/gkmlpt/mindex?jump=tru,公开平台 半自动,否,重点抓政策文件 通知公告 不抓新闻宣传,工业用电/需求响应/绿色制造/B类辅助依据,B,每月,启用,作为省级工信辅助来源
SRC-P-004,省级,山东,山东省发展和改革委员会-省政府部门页,官方政策,山东省发展和改革委员会,https://www.sd.gov.cn/,https://www.sd.gov.cn/col/col314060/index.html,省政府部门页 半自动,否,先从省政府部门页和关联公开信息核验正式入口 不做无边界全站抓取,电价政策/能源政策/重大项目/A类省级依据,A,每周,启用,山东省发改委官网域名可追踪为fgw.shandong.gov.cn 先用省政府部门页控边界
SRC-P-005,省级,山东,山东省能源局,官方政策,山东省能源局,https://nyj.shandong.gov.cn/,https://nyj.shandong.gov.cn/,首页栏目 半自动,否,优先关注通知公告栏目中的电力市场 新能源消纳 绿电直连 源网荷储文件 不抓媒体聚焦,新能源消纳/现货/绿电直连/源网荷储,A,每周,启用,山东省能源局电力市场相关文件密度高
SRC-P-006,省级,山东,山东省工业和信息化厅,官方政策,山东省工业和信息化厅,https://gxt.shandong.gov.cn/,https://gxt.shandong.gov.cn/,首页栏目 半自动,否,优先关注通知和规范性文件栏目 不抓工作动态,工业用电/数字化转型/制造业升级/B类辅助依据,B,每周,启用,山东省工信厅通知类文件可作为辅助来源
SRC-P-007,省级,江苏,江苏省发展和改革委员会-政府信息公开,官方政策,江苏省发展和改革委员会,https://fzggw.jiangsu.gov.cn/,https://fzggw.jiangsu.gov.cn/col/col687/index.html,公开平台,是,只抓政府信息公开中的政策文件和通知公告 不抓综合新闻,价格政策/能源政策/重大项目/A类省级依据,A,每周,启用,江苏省发改委政府信息公开入口已核
SRC-P-008,省级,江苏,江苏省工业和信息化厅-政策文件,官方政策,江苏省工业和信息化厅,https://gxt.jiangsu.gov.cn/,https://gxt.jiangsu.gov.cn/col/col89736/index.html,HTML列表,是,只抓政策文件栏目 不抓公告公示和新闻,工业用电/数字经济/制造业升级/B类辅助依据,B,每周,启用,江苏省工信厅政策文件入口已核
SRC-P-009,省级,江苏,江苏省科学技术厅-规范性文件,官方政策,江苏省科学技术厅,https://kxjst.jiangsu.gov.cn/,https://kxjst.jiangsu.gov.cn/col/col82571/index.html,HTML列表,是,只抓江苏省政策规范性文件和本厅规范性文件 不抓解读,科技创新/成果转化/产业创新/B类辅助依据,B,每月,启用,江苏省科技厅规范性文件入口已核
SRC-P-010,省级,浙江,浙江省发展和改革委员会,官方政策,浙江省发展和改革委员会,https://fzggw.zj.gov.cn/,https://fzggw.zj.gov.cn/,首页栏目 半自动,否,优先关注信息公开和省政府法规文件 不抓一般新闻,价格政策/能源政策/重大项目/A类省级依据,A,每周,启用,浙江省发改委政策文件可从首页与信息公开双入口追踪
SRC-P-011,省级,浙江,浙江省经济和信息化厅,官方政策,浙江省经济和信息化厅,https://jxt.zj.gov.cn/,https://jxt.zj.gov.cn/,首页栏目 半自动,否,优先关注政府信息公开和文件通知 不抓一般新闻,工业用电/数字经济/制造业升级/B类辅助依据,B,每周,启用,浙江省经信厅首页已核 含政府信息公开入口
SRC-P-012,省级,浙江,浙江省科学技术厅-政策文件,官方政策,浙江省科学技术厅,https://kjt.zj.gov.cn/,https://kjt.zj.gov.cn/col/col1229307500/index.html,HTML列表,是,只抓政策文件栏目 不抓意见征求和一般新闻,科技创新/成果转化/产业创新/B类辅助依据,B,每月,启用,浙江省科技厅政策文件入口已核
SRC-P-013,省级,四川,四川省发展和改革委员会-政策文件,官方政策,四川省发展和改革委员会,https://fgw.sc.gov.cn/,https://fgw.sc.gov.cn/sfgw/zcwj/list.shtml,HTML列表,是,只抓政策文件栏目和行政规范性文件 不抓政策解读,价格政策/能源政策/重大项目/A类省级依据,A,每周,启用,四川省发改委政策文件入口已核
SRC-P-014,省级,四川,四川省经济和信息化厅,官方政策,四川省经济和信息化厅,https://jxt.sc.gov.cn/scjxt/,https://jxt.sc.gov.cn/scjxt/,首页栏目 半自动,否,优先关注政策文件和政府信息公开 不抓专题新闻,工业用电/数字经济/先进制造/B类辅助依据,B,每周,启用,四川省经信厅官网已核 具体稳定列表页待进一步确认
SRC-P-015,省级,四川,四川省科学技术厅-行政规范性文件,官方政策,四川省科学技术厅,https://kjt.sc.gov.cn/,https://kjt.sc.gov.cn/kjt/xzgfxwj/newszwxxgkxzgfxwj_3.shtml,HTML列表,是,只抓行政规范性文件 不抓项目通知和一般资讯,科技创新/成果转化/产业创新/B类辅助依据,B,每月,启用,四川省科技厅规范性文件入口已核
SRC-P-016,省级,山西,山西省发展和改革委员会,官方政策,山西省发展和改革委员会,https://fgw.shanxi.gov.cn/,https://fgw.shanxi.gov.cn/,首页栏目 半自动,否,优先关注政策文件 通知公告 规范性文件 不抓综合新闻,价格政策/能源政策/信用与营商环境/A类省级依据,A,每周,启用,第二批省份 已核官方主站
SRC-P-017,省级,山西,山西省能源局,官方政策,山西省能源局,https://nyj.shanxi.gov.cn/,https://nyj.shanxi.gov.cn/,首页栏目 半自动,否,优先关注通知公告和电力市场相关文件 不抓综合新闻,能源管理/现货市场/煤电与新能源/A类省级依据,A,每周,启用,第二批省份 已核官方主站
SRC-P-018,省级,山西,山西省工业和信息化厅-通知公告,官方政策,山西省工业和信息化厅,https://gxt.shanxi.gov.cn/,https://gxt.shanxi.gov.cn/xwdt/tzgg/,HTML列表,是,只抓通知公告栏目中的正式通知 不抓工作动态,工业用电/数字化转型/制造业升级/B类辅助依据,B,每周,启用,第二批省份 已核具体栏目
SRC-P-019,省级,山西,山西省科学技术厅,官方政策,山西省科学技术厅,https://kjt.shanxi.gov.cn/,https://kjt.shanxi.gov.cn/,首页栏目 半自动,否,优先关注政策文件和规范性文件 不抓项目新闻,科技创新/成果转化/产业创新/B类辅助依据,B,每月,启用,第二批省份 已核官方主站
SRC-P-020,省级,湖北,湖北省发展和改革委员会,官方政策,湖北省发展和改革委员会,https://fgw.hubei.gov.cn/,https://fgw.hubei.gov.cn/,首页栏目 半自动,否,优先关注规范性文件和政策文件 不抓一般新闻,价格政策/能源政策/重点项目/A类省级依据,A,每周,启用,第二批省份 已核官方主站 站点反爬较强
SRC-P-021,省级,湖北,湖北省能源局,官方政策,湖北省能源局,https://nyj.hubei.gov.cn/,https://nyj.hubei.gov.cn/,首页栏目 半自动,否,优先关注通知公告和电力市场文件 不抓综合新闻,能源管理/电力市场/新能源消纳/A类省级依据,A,每周,启用,第二批省份 已核官方主站 站点反爬较强
SRC-P-022,省级,湖北,湖北省经济和信息化厅,官方政策,湖北省经济和信息化厅,https://gxt.hubei.gov.cn/,https://gxt.hubei.gov.cn/,首页栏目 半自动,否,优先关注政策文件和通知公告 不抓工作动态,工业用电/制造业升级/数字经济/B类辅助依据,B,每周,启用,第二批省份 已核官方主站 站点反爬较强
SRC-P-023,省级,湖北,湖北省科学技术厅-政策文件数据接口,官方政策,湖北省科学技术厅,https://kjt.hubei.gov.cn/,https://kjt.hubei.gov.cn/fzlm/xxgkgzfzlm/zc/zclist.json,JSON列表,是,只抓政策文件数据接口中的规范性文件和政策文件 不抓政策解读,科技创新/成果转化/产业创新/B类辅助依据,B,每月,启用,第二批省份 已核JSON接口
SRC-P-024,省级,云南,云南省发展和改革委员会,官方政策,云南省发展和改革委员会,https://fgw.yn.gov.cn/,https://fgw.yn.gov.cn/,首页栏目 半自动,否,优先关注通知公告和政策文件 不抓一般新闻,价格政策/能源政策/重大项目/A类省级依据,A,每周,启用,第二批省份 已核官方主站
SRC-P-025,省级,云南,云南省能源局,官方政策,云南省能源局,https://nyj.yn.gov.cn/,https://nyj.yn.gov.cn/,首页栏目 半自动,否,优先关注通知公告和电力市场文件 不抓综合新闻,能源管理/电力市场/西电东送/A类省级依据,A,每周,启用,第二批省份 已核官方主站
SRC-P-026,省级,云南,云南省工业和信息化厅,官方政策,云南省工业和信息化厅,https://gxt.yn.gov.cn/,https://gxt.yn.gov.cn/,首页栏目 半自动,否,优先关注政策文件和通知公告 不抓工作动态,工业用电/绿色制造/数字经济/B类辅助依据,B,每周,启用,第二批省份 已核官方主站
SRC-P-027,省级,云南,云南省科学技术厅-行政规范性文件,官方政策,云南省科学技术厅,https://kjt.yn.gov.cn/,https://kjt.yn.gov.cn/html/zhengfuxinxigongkai/zhengcewenjian/xingzhengguifanxingwenjian/,HTML列表,是,只抓行政规范性文件和政策文件 不抓政策解读,科技创新/成果转化/产业创新/B类辅助依据,B,每月,启用,第二批省份 已核具体栏目
SRC-P-028,省级,甘肃,甘肃省发展和改革委员会,官方政策,甘肃省发展和改革委员会,https://fgw.gansu.gov.cn/,https://fgw.gansu.gov.cn/,首页栏目 半自动,否,优先关注政策文件和通知公告 不抓一般新闻,价格政策/能源政策/重大项目/A类省级依据,A,每周,启用,第二批省份 已核官方主站 站点反爬较强
SRC-P-029,省级,甘肃,甘肃省能源局,官方政策,甘肃省能源局,https://nyj.gansu.gov.cn/,https://nyj.gansu.gov.cn/,首页栏目 半自动,否,优先关注通知公告和新能源市场文件 不抓综合新闻,能源管理/新能源/现货市场/A类省级依据,A,每周,启用,第二批省份 已核官方主站 站点反爬较强
SRC-P-030,省级,甘肃,甘肃省工业和信息化厅,官方政策,甘肃省工业和信息化厅,https://gxt.gansu.gov.cn/,https://gxt.gansu.gov.cn/,首页栏目 半自动,否,优先关注政策文件和通知公告 不抓工作动态,工业用电/制造业升级/数字化/B类辅助依据,B,每周,启用,第二批省份 已核官方主站 站点反爬较强
SRC-P-031,省级,甘肃,甘肃省科学技术厅,官方政策,甘肃省科学技术厅,https://kjt.gansu.gov.cn/,https://kjt.gansu.gov.cn/,首页栏目 半自动,否,优先关注政策文件和规范性文件 不抓项目新闻,科技创新/成果转化/产业创新/B类辅助依据,B,每月,启用,第二批省份 已核官方主站
SRC-P-032,省级,内蒙古自治区,内蒙古自治区发展和改革委员会,官方政策,内蒙古自治区发展和改革委员会,https://fgw.nmg.gov.cn/,https://fgw.nmg.gov.cn/,首页栏目 半自动,否,优先关注政策文件 通知公告 价格政策 不抓综合新闻,价格政策/能源政策/营商环境/A类省级依据,A,每周,启用,第二批省份 已核官方主站
SRC-P-033,省级,内蒙古自治区,内蒙古自治区能源局-通知公告,官方政策,内蒙古自治区能源局,https://nyj.nmg.gov.cn/,https://nyj.nmg.gov.cn/slh/tz/,HTML列表,是,只抓通知公告栏目中的电力市场 新能源 源网荷储文件 不抓一般新闻,能源管理/蒙西蒙东市场/新能源/A类省级依据,A,每周,启用,第二批省份 已核具体栏目
SRC-P-034,省级,内蒙古自治区,内蒙古自治区工业和信息化厅,官方政策,内蒙古自治区工业和信息化厅,https://gxt.nmg.gov.cn/,https://gxt.nmg.gov.cn/,首页栏目 半自动,否,优先关注政策文件和通知公告 不抓工作动态,工业用电/制造业升级/数字经济/B类辅助依据,B,每周,启用,第二批省份 已核官方主站
SRC-P-035,省级,内蒙古自治区,内蒙古自治区科学技术厅-通知公告,官方政策,内蒙古自治区科学技术厅,https://kjt.nmg.gov.cn/,https://kjt.nmg.gov.cn/slb/kjdt/tzgg/,HTML列表,是,只抓通知公告栏目中的政策通知和规范性文件 不抓工作动态,科技创新/成果转化/产业创新/B类辅助依据,B,每月,启用,第二批省份 已核具体栏目
SRC-M-001,副省级城市,广州,广州市发展和改革委员会-部门文件,官方政策,广州市发展和改革委员会,https://fgw.gz.gov.cn/,https://fgw.gz.gov.cn/zfxxgk/zfxxgkml/zfxxgkml/bmwj/,HTML列表,是,只抓部门文件栏目正式文件 不抓政务动态,地方价格政策/能源项目/营商环境/B类地方依据,B,每周,启用,广州先作为副省级城市模板来源
SRC-M-002,副省级城市,广州,广州市工业和信息化局-政府信息公开平台,官方政策,广州市工业和信息化局,https://gxj.gz.gov.cn/,https://gxj.gz.gov.cn/gkmlpt/,公开平台,是,重点抓部门文件 通知公告 政策文件 不抓新闻宣传,工业用电/数字化/制造业支持/B类地方依据,B,每月,启用,广州先作为副省级城市模板来源
SRC-M-003,副省级城市,广州,广州市科学技术局-政府信息公开平台,官方政策,广州市科学技术局,https://kjj.gz.gov.cn/,https://kjj.gz.gov.cn/gkmlpt/index,公开平台,是,重点抓政策文件 通知公告 项目申报规则 不抓一般活动新闻,科技项目/创新政策/新型电力系统相关科技/B类地方依据,B,每月,启用,广州先作为副省级城市模板来源
SRC-T-001,交易机构,南方区域,广州电力交易中心-交易规则,交易规则,广州电力交易中心,https://www.gzpec.cn/,https://www.gzpec.cn/law/jygz/,HTML列表,是,只抓交易规则 实施细则 市场公告 注册结算规则 不抓公司新闻,中长期/现货/结算/注册/绿电,A,每周,启用,南方区域交易规则关键来源
SRC-G-001,电网企业,全国,国家电网-公司官网与信息披露,电网企业/运营主体,国家电网有限公司,https://www.sgcc.com.cn/,https://www.sgcc.com.cn/,首页栏目 半自动,否,优先关注信息公开 公司公告 电力保供 营商环境和经营区市场建设信息 不抓一般企业宣传,电网运营/获得电力/市场建设/经营区信息,B,每周,启用,用户所说中国电网统一规范为国家电网 官网对程序请求不稳定 先按半自动来源管理
SRC-G-002,电网企业,南方区域,南方电网-公司官网与信息披露,电网企业/运营主体,中国南方电网有限责任公司,https://www.csg.cn/,https://www.csg.cn/,首页栏目 半自动,否,优先关注公司公告 信息公开 经营区市场建设 并网服务和营商环境信息 不抓一般企业宣传,电网运营/南方区域市场/获得电力/并网服务,B,每周,启用,作为南方区域电网企业来源
SRC-G-003,电网企业,内蒙古,内蒙古电网-公司官网与信息披露,电网企业/运营主体,内蒙古电力（集团）有限责任公司,https://www.impc.com.cn/,https://www.impc.com.cn/,首页栏目 半自动,否,优先关注公司公告 信息公开 电网运行和经营区市场建设信息 不抓一般企业宣传,电网运营/蒙西市场/经营区信息/B类辅助依据,B,每周,启用,对应用户所说内蒙古电网 后续可与蒙西交易来源联动
