地区编号,行政层级,地区名称,所属区域,来源组合模板,建议主责来源,辅助来源,交易与监管来源,当前建设阶段,备注
REG-P-019,省级,云南,西南,省发改委+省能源局+省工信厅+监管机构+交易中心,云南省发展改革委/云南省能源局,云南省工业和信息化厅,云南能源监管办公室/广州电力交易中心,已细化第一批,已补发改委 能源局 工信厅 科技厅入口 其中科技厅为可自动抓取来源
REG-P-020,省级,陕西,西北,省发改委+省能源局+省工信厅+监管机构+交易中心,陕西省发展改革委/陕西省能源局,陕西省工业和信息化厅,西北能源监管局/省级交易中心,待展开,省级模板
REG-P-021,省级,甘肃,西北,省发改委+省能源局+省工信厅+监管机构+交易中心,甘肃省发展改革委/甘肃省能源局,甘肃省工业和信息化厅,西北能源监管局/省级交易中心,已细化第一批,已补发改委 能源局 工信厅 科技厅主站入口 细栏目后续补
REG-P-022,省级,青海,西北,省发改委+省能源主管部门+省工信厅+监管机构+交易中心,青海省发展改革委/能源主管部门,青海省工业和信息化厅,西北能源监管局/省级交易中心,待展开,省级模板
REG-P-023,省级,内蒙古自治区,华北,自治区发改委+能源局+工信厅+监管机构+交易中心,内蒙古自治区发展改革委/能源局,内蒙古自治区工业和信息化厅,华北能源监管局/蒙西蒙东交易机构,已细化第一批,已补发改委 能源局 工信厅 科技厅入口 其中能源局和科技厅可自动抓取
REG-P-024,省级,广西壮族自治区,华南,自治区发改委+能源主管部门+工信厅+监管机构+交易中心,广西壮族自治区发展改革委/能源主管部门,广西壮族自治区工业和信息化厅,南方能源监管局/广州电力交易中心,待展开,自治区模板
REG-P-025,省级,西藏自治区,西南,自治区发改委+能源主管部门+经信部门+监管机构+交易中心,西藏自治区发展改革委/能源主管部门,西藏自治区经信部门,西南能源监管机构/区域交易机构,待展开,后续根据公开来源再细化
REG-P-026,省级,宁夏回族自治区,西北,自治区发改委+能源主管部门+工信厅+监管机构+交易中心,宁夏回族自治区发展改革委/能源主管部门,宁夏回族自治区工业和信息化厅,西北能源监管局/省级交易中心,待展开,省级模板
REG-P-027,省级,新疆维吾尔自治区,西北,自治区发改委+能源局+工信厅+监管机构+交易中心,新疆维吾尔自治区发展改革委/能源局,新疆维吾尔自治区工业和信息化厅,新疆能源监管机构/省级交易中心,待展开,新疆市场独立性较强
REG-MU-001,直辖市,北京,华北,市发改委+市经信或经信局+科技主管部门+监管机构+交易中心,北京市发展改革委,北京市经信部门/北京市科委,华北能源监管局/北京电力交易中心,已细化第一批,已补发改委 经信局 科技委具体入口 交易与监管后续补
REG-MU-002,直辖市,天津,华北,市发改委+市工信或经信部门+科技主管部门+监管机构+交易中心,天津市发展改革委,天津市工信或科技主管部门,华北能源监管局/北京电力交易中心,已细化第一批,已补发改委 工信局 科技局具体入口 交易与监管后续补
REG-MU-003,直辖市,上海,华东,市发改委+市经信部门+科技主管部门+监管机构+交易中心,上海市发展改革委,上海市经信部门/上海市科委,华东能源监管局/交易中心,已细化第一批,已补发改委 经信委 科委具体入口 交易与监管后续补
REG-MU-004,直辖市,重庆,西南,市发改委+市经信部门+科技主管部门+监管机构+交易中心,重庆市发展改革委,重庆市经信部门/重庆市科技局,西南能源监管机构/交易中心,已细化第一批,已补发改委 经信委 科技局具体入口 交易与监管后续补
REG-SP-001,副省级城市,广州,华南,市发改委+市工信局+市科技局,广州市发展改革委,广州市工业和信息化局/广州市科学技术局,按省级与区域交易监管补充,已部分展开,当前副省级城市样板
REG-SP-002,副省级城市,深圳,华南,市发改委+市工信局+市科技局,深圳市发展改革委,深圳市工业和信息化局/深圳市科技创新部门,按广东省级与南方区域补充,待展开,副省级城市暂存模板
REG-SP-003,副省级城市,南京,华东,市发改委+市工信局+市科技局,南京市发展改革委,南京市工信与科技部门,按江苏省级与华东区域补充,待展开,副省级城市暂存模板
REG-SP-004,副省级城市,杭州,华东,市发改委+市经信局+市科技局,杭州市发展改革委,杭州市经信与科技部门,按浙江省级与华东区域补充,待展开,副省级城市暂存模板
REG-SP-005,副省级城市,宁波,华东,市发改委+市经信局+市科技局,宁波市发展改革委,宁波市经信与科技部门,按浙江省级与华东区域补充,待展开,副省级城市暂存模板
REG-SP-006,副省级城市,济南,华东,市发改委+市工信局+市科技局,济南市发展改革委,济南市工业和信息化局/济南市科技局,按山东省级与省级交易监管补充,待展开,副省级城市暂存模板
REG-SP-007,副省级城市,青岛,华东,市发改委+市工信局+市科技局,青岛市发展改革委,青岛市工业和信息化局/青岛市科技局,按山东省级与省级交易监管补充,待展开,副省级城市暂存模板
REG-SP-008,副省级城市,武汉,华中,市发改委+市经信局+市科技局,武汉市发展改革委,武汉市经信与科技部门,按湖北省级与华中区域补充,待展开,副省级城市暂存模板
REG-SP-009,副省级城市,大连,东北,市发改委+市工信局+市科技局,大连市发展改革委,大连市工业和信息化局/大连市科技局,按辽宁省级与东北区域补充,待展开,副省级城市暂存模板
REG-SP-010,副省级城市,沈阳,东北,市发改委+市工信局+市科技局,沈阳市发展改革委,沈阳市工业和信息化局/沈阳市科技局,按辽宁省级与东北区域补充,待展开,副省级城市暂存模板
REG-SP-011,副省级城市,长春,东北,市发改委+市工信局+市科技局,长春市发展改革委,长春市工业和信息化局/长春市科技局,按吉林省级与东北区域补充,待展开,副省级城市暂存模板
REG-SP-012,副省级城市,哈尔滨,东北,市发改委+市工信局+市科技局,哈尔滨市发展改革委,哈尔滨市工业和信息化局/哈尔滨市科技局,按黑龙江省级与东北区域补充,待展开,副省级城市暂存模板
REG-SP-013,副省级城市,厦门,华东,市发改委+市工信局+市科技局,厦门市发展改革委,厦门市工业和信息化局/厦门市科技局,按福建省级与华东区域补充,待展开,副省级城市暂存模板
REG-SP-014,副省级城市,西安,西北,市发改委+市工信局+市科技局,西安市发展改革委,西安市工业和信息化局/西安市科技局,按陕西省级与西北区域补充,待展开,副省级城市暂存模板
REG-SP-015,副省级城市,成都,西南,市发改委+市经信局+市科技局,成都市发展改革委,成都市经信与科技部门,按四川省级与西南区域补充,待展开,副省级城市暂存模板
REG-G-001,电网企业,国家电网经营区,全国,国家电网+经营区公告与信息公开,国家电网有限公司,经营区内省级公司和营商环境公开信息,与北京电力交易中心和各区域监管来源配套,待展开,用户口中的中国电网统一归并为国家电网
REG-G-002,电网企业,南方电网经营区,华南/西南,南方电网+经营区公告与信息公开,中国南方电网有限责任公司,经营区内省级公司公开信息,与广州电力交易中心和南方监管局来源配套,待展开,适合覆盖广东 广西 云南 贵州 海南等经营区信息
REG-G-003,电网企业,内蒙古电网经营区,内蒙古,内蒙古电网+经营区公告与信息公开,内蒙古电力（集团）有限责任公司,经营区公开信息,与蒙西相关交易和监管来源配套,待展开,后续与内蒙古自治区和蒙西市场来源联动
