资料编号,文件标题,质量状态,状态原因,是否可引用,缺失字段,人工复核状态,更新时间
AUTO-20260425-981F2EE25A,关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-B3B8DDADB6,关于完善发电侧容量电价机制的通知(发改价格〔2026〕114号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-7D4B7A7D59,关于印发输配电定价成本监审办法、省级电网输配电价定价办法、区域电网输电价格定价办法和跨省跨区专项工程输电价格定价办法的通知(发改价格规〔2025〕1490号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-02AD665464,关于印发南方区域电力市场配套实施细则的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-8469367611,关于印发《电力市场计量结算基本规则》的通知(发改能源规〔2025〕976号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-F67BBBF923,关于印发《电力中长期市场基本规则》的通知(发改能源规〔2025〕1656号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-6D1818F6CF,关于优化集中式新能源发电企业市场报价的通知(试行)(发改能源〔2025〕1476号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-19A93F32F1,云南电力市场规则,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-3CC677DBE5,北京市发展和改革委员会关于公开征集市政府固定资产投资支持新能源供热项目的通知-本委其他文件-北京市发展和改革委员会,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-3D787AF073,关于公开征求《重庆电力中长期市场实施细则（征求意见稿）》意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-63755B61E4,关于公开征求《西藏自治区电力中长期市场实施细则（征求意见稿）》意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-35BEAAF482,关于公开征求《湖北省电力中长期市场实施细则（征求意见稿）》意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-1A6D55E163,关于公开征求《江西电力中长期市场实施细则（征求意见稿）》意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-D8A4A0C9BE,关于公开征求《华中区域省间电力中长期交易实施细则（征求意见稿）》意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-BD09FE2823,关于印发《南方区域新能源参与电力市场交易实施方案（试行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-991CDC4524,关于印发《广东、广西、海南发电机组参与电力市场交易业务衔接暂行规定》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-D5A6AA701E,关于加强辖区中长期批发交易合同签约履约监管的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-89CB5D262F,国家能源局华中监管局关于征求《江西省电力市场规则4.0版》部分条款修订意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-82D40D1344,关于公开征求《西藏自治区电力中长期交易实施细则（征求意见稿）》意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260425-F75ABE5310,关于印发《江西省电力市场规则（试行4.0版）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-A3868601F8,国家能源局华中监管局关于公开征求《重庆电力中长期交易实施细则（征求意见稿）》意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-DEDA1D301C,华中能源监管局关于公开征求《华中区域(东四省)省间电力互济市场交易规则》意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-482E9580D6,关于提升海南省新能源和新型并网主体涉网安全能力的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-DBC1C0D7C5,关于提升广西壮族自治区新能源和新型并网主体涉网安全能力的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-5AA1473F8F,关于提升广东省新能源和新型并网主体涉网安全能力的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-A4374A2C3D,关于印发《南方区域电力市场运行规则（试行，2025年V1.0版）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-E51176BC68,国家能源局华中监管局关于印发《湖北、江西、重庆电力调频辅助服务市场运行规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-0D440B2FA1,关于印发《重庆市电力中长期交易规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-2321F82FD1,关于山东电力现货市场由试运行转正式运行的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-CAE77C6F94,关于印发《山东电力市场参数（试行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-0E5C62271F,《山东电力市场规则(试行)》编制说明,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-0A6267C300,关于征求《山东电力市场参数(试行)》(征求意见稿)意见的公告,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-CB9FE0315E,关于印发《山东电力市场规则(试行)》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-A4B66C7278,关于印发《山东电力爬坡辅助服务市场交易规则(试行)》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-09ACA5D018,关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-400F4CEBB4,关于征求《山东电力爬坡辅助服务市场交易规则(征求意见稿)》意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-7DF0C00260,关于印发《山东省电力并网运行管理实施细则》、《山东省电力辅助服务管理实施细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-E982922381,关于修订《山东省电力中长期交易规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-2E651E50F1,关于公示新增电力中长期交易发电企业(机组)名单的通知 - 2021年3号,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-65D5E02295,山东能源监管办关于《山东电力辅助服务市场运营规则(试行)(2021年修订版)(征求意见稿)》公开征求意见的公告,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-132F8B7686,关于简化山东电力中长期交易合同电量偏差免考核工作流程的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-259ADC9C14,关于简化山东电力中长期交易合同电量偏差免考核工作流程的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-B234995E67,关于公示新增电力中长期交易发电企业(机组)名单的通知 - 2021年2号,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-46DA048C90,关于公示新增电力中长期交易发电企业(机组)名单的通知 - 2021年1号,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260426-6EEB6D3357,关于印发《山东省电力中长期交易规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-9D436454D6,国家能源局华东监管局关于印发《长三角跨省电力中长期市场实施细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-0A34FA35E6,关于印发《安徽电力中长期市场实施细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-6A8B006887,关于印发《上海电力中长期市场实施细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-20313BD46F,华北能源监管局关于征求“蒙西电力调频辅助服务交易实施细则”意见的函,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-9F7307C867,国家能源局西北监管局 陕西省发展和改革委员会关于印发《陕西省电力中长期市场实施细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-8BA55D72F9,国家能源局西北监管局关于征求《西北区域省间电力中长期市场实施细则（2026年修订版）（征求意见稿）》意见建议的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-1C4703E1E9,国家能源局西北监管局关于征求陕西、宁夏、青海电力中长期市场实施细则（征求意见稿）意见建议的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-51AC1D580A,国家能源局西北监管局关于公开征求《西北区域省间电力互济交易运营规则（试行）（征求意见稿）》意见建议的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-B95E146723,华北能源监管局关于征求京津唐电力调峰辅助服务市场运营规则 （征求意见稿）意见的通告,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-1806176B6C,国家能源局西北监管局关于印发《西北区域跨省电力中长期交易实施细则——新型储能交易专章》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-4BE00C1720,国家能源局西北监管局 青海省能源局关于印发《青海省电力中长期交易规则补充规定》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-5EF9021CE0,国家能源局西北监管局关于征求《西北区域跨省电力中长期交易实施细则——新型储能交易专章（征求意见稿）》意见建议的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-6B0EF18171,国家能源局西北监管局关于征求《青海省电力中长期交易规则补充规定（征求意见稿）》意见建议的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-2E09D15F4D,国家能源局西北监管局关于明确电力辅助服务市场价格机制等相关事项的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-CC8285BA8B,华中能源监管局关于征求《湖北、江西、重庆电力调频辅助服务市场运行规则（征求意见稿）》意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-D5C34F91B8,市工业和信息化局关于做好天津市2025年电力市场化交易工作的通知_委局文件_政务公开,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-9549320EF2,华中能源监管局关于《重庆市电力中长期交易规则（修订稿）》公开征求意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-28574D8021,国家能源局华中监管局关于公开征求《川渝一体化电力调峰辅助服务市场交易规则（征求意见稿）》意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-F77C27F149,国家能源局华中监管局关于公开征求《华中区域省间电力中长期交易规则（征求意见稿）》意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-66F282BB0B,山东能源监管办关于《山东省电力中长期交易规则(征求意见稿)》公开征求意见的公告,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-0B7C65169B,关于修订《山东电力辅助服务市场运营规则（试行）（2020年修订版）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-D691BB80BC,关于简化新能源发电企业参与山东电力市场准入流程的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-3923155EE0,关于征求《山东电力辅助服务市场运营规则（试行）（2020年修订版）》（征求意见稿）意见的函,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-E4EE7C8D82,关于公布山东电力现货市场结算试运行有关市场参数的通知(试行),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-698A8D7E10,关于修订《山东省电力现货市场交易规则(试行)》《山东省电力中长期市场交易规则(试行)》《山东省电力零售市场交易规则(试行)》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-FBC65BBD1E,贵州电力市场规则,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-D81BDF16D0,第20号_中华人民共和国国家发展和改革委员会令（电力市场运行基本规则）,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-780DD684D9,电力市场运行基本规则,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-AF700450D9,电力市场注册基本规则,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-5DD9FFE71E,电力中长期交易基本规则—绿色电力交易专章,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-344B99BC3D,广东省发展和改革委员会 - 广东省能源局关于做好2026年电力市场年度交易工作的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-EF110663B6,广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发《广东电力市场常态化开展年度交易实施方案》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-ED15D5C741,广东省发展和改革委员会 - 广东省发展改革委关于申报新能源可持续发展价格结算机制存量项目的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-CA2DDC4243,关于发布广东电力市场配套实施细则（2024年修订）的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-E24F3D75D9,关于印发《电力中长期交易基本规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-890E791E0D,可再生能源绿色电力证书核发和交易规则,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-EE6D85F7E0,发改能源规〔2023〕1217号 《电力现货市场基本规则（试行）》,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-6620523786,关于印发《内蒙古自治区单一电力用户绿电直连项目开发建设实施方案（试行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-2492100A42,关于公开征求《内蒙古电力多边交易市场规则体系2026年修订版(征求意见稿)》《蒙东电力市场规则体系2026年修订版(征求意见稿)》意见建议的公告,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-7F4BF875A3,关于做好2026年内蒙古电力多边交易市场中长期交易有关事宜的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-543BC9B2A3,关于做好2026年内蒙古东部电力交易市场中长期交易有关事宜的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-502852DE5B,关于印发《深化蒙西电网新能源上网电价市场化改革实施方案》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-A525045BF7,关于印发《深化蒙东电网新能源上网电价市场化改革实施方案》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-1906B16212,关于进一步做好我市电力现货市场限价相关事项的通知_价格管理,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-5ED24A4111,关于调整我市煤电容量电价有关事项的通知_价格管理,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-1E20E600C3,关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知(发改价格〔2025〕136号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-51C6A877DC,关于有序推动绿电直连发展有关事项的通知(发改能源〔2025〕650号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-851724B835,关于明确我市应急备用煤电机组容量电价有关事项的通知_价格管理,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-257CE410F0,关于推进电力源网荷储一体化和多能互补发展的指导意见(发改能源规〔2021〕280号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-257D529B27,关于完善价格机制促进新能源发电就近消纳的通知(发改价格〔2025〕1192号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-2DD331A266,关于印发《电力现货连续运行地区市场建设指引》的通知(发改能源〔2025〕1171号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-B292F45571,关于印发《电力现货市场基本规则（试行）》的通知(发改能源规〔2023〕1217号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-F3E6DA37CB,关于印发《南方区域跨区跨省电力中长期交易规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-ED23AB24F7,关于印发《南方区域绿色电力交易规则（试行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-F33CEF16E8,关于南方区域电力市场全月结算试运行市场监管有关事项,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-CDA7AFEC1D,关于公开征求《内蒙古自治区绿电直连项目开发建设实施方案（试行）》意见的公告,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-03A84802A0,关于全面加快电力现货市场建设工作的通知(发改办体改〔2025〕394号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-0866006539,关于做好电力现货市场试点连续试结算相关工作的通知(发改办能源规〔2020〕245号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-6FF22802C9,关于促进新能源消纳和调控的指导意见(发改能源〔2025〕1360号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-A739C746F8,关于上海市2025年度新能源增量项目机制电价竞价结果的通知_价格管理,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-C45458E7FC,国家能源局西北监管局关于印发《西北区域跨省电力中长期交易实施细则》的通知（全文）,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-EC19F02593,国家能源局西北监管局关于印发《西北区域省间电力互济交易实施细则(试行)》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-BAC94CD920,关于印发《山东省电力现货市场交易规则(试行)》《山东省电力中长期市场交易规则(试行)》《山东省电力零售市场交易规则(试行)》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-E22FE01186,国家能源局华中监管局关于印发《华中省间电力调峰及备用辅助服务市场运营规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-5D8B9D2AA9,国家能源局西北监管局关于印发《西北区域备用辅助服务市场运营规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-426F6E93C0,国家能源局西北监管局关于印发《西北区域省间调峰辅助服务市场运营规则》补充修订条款的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-A21BC5FA77,国家能源局华中监管局关于印发《湖北源网荷储电力调峰辅助服务市场运营规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-EDE85AAF9A,关于印发修订后的《上海电力中长期交易规则》的通知（华东监...,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
