资料编号,文件标题,发布日期,文号,适用地区,来源类型,有效状态,质量状态,政策工具,约束机制,激励机制,适用主体,市场环节,价格机制,交易品种,结算机制,考核机制,低碳目标,规划场景,投资影响,商业模式影响,风险约束,证据摘录,抽取方法,人工复核状态,更新时间
AUTO-20260427-1806176B6C,国家能源局西北监管局关于印发《西北区域跨省电力中长期交易实施细则——新型储能交易专章》的通知,2025-10-30,西北监能市场〔2025〕77号,西北区域,监管规则,现行有效,机器抽取,命令控制;市场机制;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束;消纳约束,价格激励;试点示范,电网企业;发电企业;储能企业;交易机构,发电;输配电;调度运行;中长期市场,市场形成价格,中长期交易;跨省跨区交易,,,新能源消纳,新型电力系统;储能,收益机制明确;并网条件影响;市场风险暴露;项目准入影响,,并网消纳风险;政策状态风险;合规监管风险,国家能源局西北监管局关于印发《西北区域跨省电力中长期交易实施细则——新型储能交易专章》的通知 国家能源局派出机构 国家能源局西北监管局 西北区域 监管规则 中长期; | 储能 中长期 国家能源局西北监管局关于印发《西北区域跨省电力中长期交易实施细则——新型储能... 2025-10-30； | OCR文本待人工复核 国家能源局西北监管局关于印发《西北区域跨省电力中长期交易实施细则——新型储能交易专章》的通知 设为首页 工作邮箱 机构概览 动态要闻 信息公开 在线办事 互动回应 专题专栏 2025-10-30 17:45 来源：市场处 字体： 西北监能市场〔2025〕77号 -国家能源局西北监管局关于印发《西北区域跨省电力中长期交易实施细则——新型储,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260427-4BE00C1720,国家能源局西北监管局 青海省能源局关于印发《青海省电力中长期交易规则补充规定》的通知,2025-09-25,,西北区域,监管规则,现行有效,机器抽取,命令控制;市场机制;信息披露;监管执法,准入条件;履约约束;信息约束;消纳约束,试点示范,电网企业;发电企业;储能企业;售电公司;交易机构,发电;输配电;售电;用电;调度运行;现货市场;中长期市场,市场形成价格;偏差价格,中长期交易;现货交易;跨省跨区交易,电费结算;偏差结算,偏差考核,,储能,成本疏导;并网条件影响;市场风险暴露;项目准入影响,,偏差风险;并网消纳风险;合规监管风险,国家能源局西北监管局 青海省能源局关于印发《青海省电力中长期交易规则补充规定》的通知 国家能源局派出机构 国家能源局西北监管局 西北区域 监管规则 中长期 交易规则; | 中长期 国家能源局西北监管局 青海省能源局关于印发《青海省电力中长期交易规则补充规定》... 2025-09-25； | OCR文本待人工复核 国家能源局西北监管局 青海省能源局关于印发《青海省电力中长期交易规则补充规定》的通知 设为首页 工作邮箱 机构概览 动态要闻 信息公开 在线办事 互动回应 专题专栏 2025-09-25 17:42 来源：市场处 字体： 国家能源局西北监管局 青海省能源局关于印发《青海省电力中长期交易规则补充规定》的通知.pdf 扫一扫在手机打开当前页,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260427-5EF9021CE0,国家能源局西北监管局关于征求《西北区域跨省电力中长期交易实施细则——新型储能交易专章（征求意见稿）》意见建议的通知,2025-08-25,,西北区域,监管规则,现行有效,机器抽取,命令控制;市场机制;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束;消纳约束,价格激励;试点示范,电网企业;发电企业;储能企业;交易机构,发电;输配电;调度运行;中长期市场,输配电价;市场形成价格,中长期交易;跨省跨区交易,分摊机制,,,新型电力系统;储能,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,,并网消纳风险;政策状态风险;合规监管风险,国家能源局西北监管局关于征求《西北区域跨省电力中长期交易实施细则——新型储能交易专章（征求意见稿）》意见建议的通知 国家能源局派出机构 国家能源局西北监管局 西北区域 监管规则 中长期; | 储能 中长期 国家能源局西北监管局关于征求《西北区域跨省电力中长期交易实施细则——新型储能... 2025-08-25 国家能源局西北监管局关于征求《西北区域跨省电力中长期交易实施细则——新型储能交易专章（征求意见稿）》意见建议的通知 设为首页 工作邮箱 机构概览 动态要闻 信息公开 在线办事 互动回应 专题专栏 2025-08-25 16:31 来源：市场 | 现对修改完善后的《西北区域跨省电力中长期交易实施细则——新型储能交易专章（征求意见稿）》面向社会公开征求意见。,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260427-6B0EF18171,国家能源局西北监管局关于征求《青海省电力中长期交易规则补充规定（征求意见稿）》意见建议的通知,2025-08-13,,西北区域,监管规则,征求意见,机器抽取,命令控制;市场机制;信息披露;监管执法,准入条件;履约约束;信息约束,试点示范,电网企业;发电企业;售电公司;交易机构,发电;输配电;售电;用电;调度运行;现货市场;中长期市场,市场形成价格;偏差价格,中长期交易;现货交易;跨省跨区交易,电费结算;偏差结算,偏差考核,,,成本疏导;市场风险暴露;项目准入影响,,偏差风险;政策状态风险;合规监管风险,国家能源局西北监管局关于征求《青海省电力中长期交易规则补充规定（征求意见稿）》意见建议的通知 国家能源局派出机构 国家能源局西北监管局 西北区域 监管规则 中长期 交易规则; | 中长期 国家能源局西北监管局关于征求《青海省电力中长期交易规则补充规定（征求意见稿）... 2025-08-13 国家能源局西北监管局关于征求《青海省电力中长期交易规则补充规定（征求意见稿）》意见建议的通知 设为首页 工作邮箱 机构概览 动态要闻 信息公开 在线办事 互动回应 专题专栏 2025-08-13 17:26 来源：市场处 字体： 为深入贯彻落实党 | 现对修改完善后的《青海省电力中长期交易规则补充规定（征求意见稿）》面向社会公开征求意见。,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260427-2E09D15F4D,国家能源局西北监管局关于明确电力辅助服务市场价格机制等相关事项的通知,2025-07-01,,西北区域,监管规则,现行有效,机器抽取,命令控制;市场机制;财政金融;信息披露;监管执法,准入条件;并网约束;信息约束;消纳约束,补偿收益;价格激励,发电企业;储能企业;售电公司;电力用户;交易机构;虚拟电厂,发电;输配电;售电;用电;调度运行;辅助服务;现货市场,上网电价;辅助服务价格,辅助服务交易,,信息披露考核,,储能;虚拟电厂,收益机制明确;市场风险暴露;项目准入影响,聚合交易;辅助服务收益,合规监管风险,国家能源局西北监管局关于明确电力辅助服务市场价格机制等相关事项的通知 国家能源局派出机构 国家能源局西北监管局 西北区域 监管规则 辅助服务 辅助服务 国家能源局西北监管局关于明确电力辅助服务市场价格机制等相关事项的通知 2025-07-01； | OCR文本待人工复核 国家能源局西北监管局关于明确电力辅助服务市场价格机制等相关事项的通知 设为首页 工作邮箱 机构概览 动态要闻 信息公开 在线办事 互动回应 专题专栏 2025-07-01 17:38 来源：市场处 字体： 国家能源局西北监管局关于明确电力辅助服务市场价格机制等相关事项的通知.pdf 扫一扫在手机打开当前页 地址：陕西省西安市雁塔区南二环 | --- 第 2 页 OCR --- 一、调整调峰辅助服务市场价格上限 一、调整调峰辅助服务市场价格上限 按不高于当地平价新能源项目的上网电价原则调整调峰 辅助服务市场价格上限。,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260427-CC8285BA8B,华中能源监管局关于征求《湖北、江西、重庆电力调频辅助服务市场运行规则（征求意见稿）》意见的通知,2024-11-20,,华中区域,监管规则,现行有效,机器抽取,命令控制;市场机制;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束,补偿收益;价格激励;绿色激励;试点示范,电网企业;发电企业;新能源企业;储能企业;售电公司;电力用户;交易机构;虚拟电厂,发电;输配电;售电;用电;调度运行;辅助服务;现货市场,市场形成价格;容量价格;辅助服务价格;偏差价格,辅助服务交易;容量交易;需求响应,电费结算;辅助服务结算;分摊机制;周期结算,运行考核;信息披露考核,绿色低碳,新型电力系统;储能;虚拟电厂,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,聚合交易;辅助服务收益,价格波动;偏差风险;并网消纳风险;政策状态风险;合规监管风险,华中能源监管局关于征求《湖北、江西、重庆电力调频辅助服务市场运行规则（征求意见稿）》意见的通知 国家能源局派出机构 国家能源局华中监管局 华中区域 监管规则 辅助服务 辅助服务 华中能源监管局关于征求《湖北、江西、重庆电力调频辅助服务市场运行规则（征求意... 2024-11-20 华中能源监管局关于征求《湖北、江西、重庆电力调频辅助服务市场运行规则（征求意 | 欢迎有关单位和社会各界人士提出宝贵意见，于 日前发送至 schzj@nea.gov.cn 感谢您的参与和支持！ 027-88717613 027-88717610 湖北、江西、重庆电力调频辅助服务市场运行规则（征求意见稿）.pdf 湖北、江西、重庆电力调频辅助服务市场运行规则（征求意见稿）.pdf 编制说明.pdf 国家能源局华中监管局 扫一扫在手机打开当前 | 第二条 本规则依据《中共中央 国务院关于进一步深化 电力体制改革的若干意见》（中发〔2015〕9 号）及其相关配 套文件、《国家能源局关于印发<电力并网运行管理规定>的 通知》（国能发监管规〔2021〕60 号）、《国家能源局关于印 发<电力辅助服务管理办法>的通知》（国能发监管规〔2021〕 发<电力辅助服务管理办法>的通知》（国能发监管规〔2021〕 6,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260427-D5C34F91B8,市工业和信息化局关于做好天津市2025年电力市场化交易工作的通知_委局文件_政务公开,2024-11-15,津工信电力〔2024〕21号,天津,官方政策,现行有效,机器抽取,命令控制;市场机制;信息披露,准入条件;并网约束;履约约束;信息约束,价格激励;绿色激励,电网企业;发电企业;储能企业;售电公司;交易机构,发电;输配电;售电;调度运行;中长期市场;绿电绿证,上网电价;偏差价格,中长期交易;绿电交易,,,,储能,市场风险暴露;项目准入影响,绿电消费,偏差风险,市工业和信息化局关于做好天津市2025年电力市场化交易工作的通知_委局文件_政务公开 天津市工业和信息化局 天津市工业和信息化局 天津 官方政策 电力市场 电力市场 市工业和信息化局关于做好天津市2025年电力市场化交易工作的通知2024-11-15 市工业和信息化局关于做好天津市2025年电力市场化交易工作的通知_委局文件_政务公开 天津政务网 2019年 | 科技工业信息化\信息化 成 文 日 期 ： 发 文 日 期 ： 有 效 性 ： 市工业和信息化局关于做好天津市 202 电力市场化交易工作的通知 北京电力交易中心有限公司、国家电网华北分部、国网天津市电力公司、天津电力交易中心有限公司，各有关市场主体： 为深入贯彻《中共中央国务院关于进一步深化电力体制改革的若干意见》（中发〔 2015 号）及其配套文件、《电 | 三、为保证交易结果有效执行，相关电力交易中心应及时将交易结果纳入发电企业月度发电计划，做好月度发电计划编制与发布。,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260427-9549320EF2,华中能源监管局关于《重庆市电力中长期交易规则（修订稿）》公开征求意见的通知,2024-11-01,,华中区域,监管规则,征求意见,机器抽取,命令控制;市场机制;规划引导;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束;消纳约束,补偿收益;价格激励;绿色激励;试点示范,电网企业;发电企业;新能源企业;储能企业;售电公司;电力用户;交易机构;微电网主体,发电;输配电;售电;用电;调度运行;辅助服务;现货市场;中长期市场;绿电绿证,上网电价;输配电价;分时电价;市场形成价格;容量价格;辅助服务价格;偏差价格,中长期交易;现货交易;绿电交易;辅助服务交易;容量交易;跨省跨区交易,电费结算;偏差结算;辅助服务结算;分摊机制,偏差考核;信息披露考核,新能源消纳,储能;电网规划,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,绿电消费;辅助服务收益;园区微电网,价格波动;偏差风险;并网消纳风险;政策状态风险;合规监管风险,华中能源监管局关于《重庆市电力中长期交易规则（修订稿）》公开征求意见的通知 国家能源局派出机构 国家能源局华中监管局 华中区域 监管规则 中长期 交易规则; | 中长期 华中能源监管局关于《重庆市电力中长期交易规则（修订稿）》公开征求意见的通知 2024-11-01 华中能源监管局关于《重庆市电力中长期交易规则（修订稿）》公开征求意见的通知 设为首页 工作邮箱 机构概览 动态要闻 信息公开 在线办事 互动回应 专题专栏 2024-11-01 17:06 来源：国家能源局华中监管局 字体： 号）、《电力中长期交易基本规 | 现向社会公开征求意见，欢迎有关单位和社会各界人士提出宝贵意见，于 2024 日前发送至 schzj@nea.gov.cn 联系电话： 027-88717615 《重庆市电力中长期交易规则（修订稿）》.pdf 《重庆市电力中长期交易规则（修订稿）》.pdf 国家能源局华中监管局 扫一扫在手机打开当前页 网站标识码：bm62000009号 京ICP备110449,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260427-28574D8021,国家能源局华中监管局关于公开征求《川渝一体化电力调峰辅助服务市场交易规则（征求意见稿）》意见的通知,2024-04-30,,华中区域,监管规则,征求意见,机器抽取,命令控制;市场机制;规划引导;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束;消纳约束,补偿收益;价格激励;试点示范,电网企业;发电企业;新能源企业;储能企业;电力用户;交易机构;虚拟电厂,发电;输配电;用电;调度运行;辅助服务;现货市场;中长期市场,上网电价;市场形成价格;偏差价格,中长期交易;现货交易;辅助服务交易;需求响应;跨省跨区交易,电费结算;偏差结算;辅助服务结算;分摊机制;周期结算,偏差考核;信息披露考核,,源网荷储;储能;虚拟电厂,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,聚合交易;辅助服务收益,价格波动;偏差风险;并网消纳风险;政策状态风险;合规监管风险,国家能源局华中监管局关于公开征求《川渝一体化电力调峰辅助服务市场交易规则（征求意见稿）》意见的通知 国家能源局派出机构 国家能源局华中监管局 华中区域 监管规则 辅助服务 交易规则; | 辅助服务 国家能源局华中监管局关于公开征求《川渝一体化电力调峰辅助服务市场交易规则（征... 2024-04-30 国家能源局华中监管局关于公开征求《川渝一体化电力调峰辅助服务市场交易规则（征求意见稿）》意见的通知 设为首页 工作邮箱 机构概览 动态要闻 信息公开 在线办事 互动回应 专题专栏 2024-04-30 15:06 来源：国家能源局华中监管局 字 | 如有反馈意见，请将有关意见以电子邮件形式发至 schzj@nea.gov.cn 感谢您的 参与和支持！ 附件1 川渝一体化电力调峰辅助服务市场交易规则（征求意见稿）.pdf 附件1 川渝一体化电力调峰辅助服务市场交易规则（征求意见稿）.pdf 附件2 《川渝一体化电力调峰辅助服务市场交易规则（征求意见稿）》编制说明.pdf 扫一扫在手机打开当前页 网站标识码,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260427-F77C27F149,国家能源局华中监管局关于公开征求《华中区域省间电力中长期交易规则（征求意见稿）》意见的通知,2024-04-30,,华中区域,监管规则,征求意见,机器抽取,命令控制;市场机制;规划引导;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束;消纳约束,补偿收益;价格激励;绿色激励;试点示范,电网企业;发电企业;新能源企业;储能企业;售电公司;电力用户;交易机构;虚拟电厂,发电;输配电;售电;用电;调度运行;辅助服务;现货市场;中长期市场;绿电绿证,上网电价;输配电价;分时电价;市场形成价格;容量价格;偏差价格,中长期交易;现货交易;绿电交易;辅助服务交易;需求响应;跨省跨区交易,电费结算;偏差结算;分摊机制,偏差考核;信息披露考核;监管处罚,新能源消纳,储能;电网规划;虚拟电厂,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,聚合交易;绿电消费;辅助服务收益,价格波动;偏差风险;并网消纳风险;政策状态风险;合规监管风险,国家能源局华中监管局关于公开征求《华中区域省间电力中长期交易规则（征求意见稿）》意见的通知 国家能源局派出机构 国家能源局华中监管局 华中区域 监管规则 中长期; | 省间 国家能源局华中监管局关于公开征求《华中区域省间电力中长期交易规则（征求意见稿... 2024-04-30 国家能源局华中监管局关于公开征求《华中区域省间电力中长期交易规则（征求意见稿）》意见的通知 设为首页 工作邮箱 机构概览 动态要闻 信息公开 在线办事 互动回应 专题专栏 2024-04-30 14:59 来源：国家能源局华中监管局 字体： 为贯彻 | 此次征求意见的时间为2024年4月30日至 年5月31日。,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260427-66F282BB0B,山东能源监管办关于《山东省电力中长期交易规则(征求意见稿)》公开征求意见的公告,2021-02-11,,山东,监管规则,征求意见,机器抽取,命令控制;市场机制;规划引导;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束;消纳约束,补偿收益;价格激励;绿色激励;试点示范,电网企业;发电企业;新能源企业;储能企业;售电公司;电力用户;交易机构,发电;输配电;售电;用电;调度运行;辅助服务;现货市场;中长期市场,上网电价;输配电价;分时电价;市场形成价格;辅助服务价格;偏差价格,中长期交易;现货交易;辅助服务交易;跨省跨区交易,电费结算;偏差结算;辅助服务结算;分摊机制;周期结算,偏差考核;信用评价;信息披露考核,新能源消纳,储能;电网规划,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,辅助服务收益,价格波动;偏差风险;并网消纳风险;政策状态风险;合规监管风险,山东能源监管办关于《山东省电力中长期交易规则(征求意见稿)》公开征求意见的公告 国家能源局派出机构 国家能源局山东监管办公室 山东 监管规则 中长期 交易规则; | 中长期 山东能源监管办关于《山东省电力中长期交易规则(征求意见稿)》公开征求意见的公告 2021-02-11 山东能源监管办关于《山东省电力中长期交易规则(征求意见稿)》公开征求意见的公告_国家能源局山东监管办公室 设为首页 工作邮箱 机构概览 动态要闻 信息公开 在线办事 互动回应 专题专栏 山东能源监管办关于《山东省电力中长期交易规则(征求意见稿)》公开 | 现向社会公开征求意见，征求意见的时间为2021年2月10日至2021年3月13日，反馈意见请书面反馈我办(电子版请同时发至联系人邮箱)。,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260427-0B7C65169B,关于修订《山东电力辅助服务市场运营规则（试行）（2020年修订版）》的通知,2020-12-31,,山东,监管规则,试行,机器抽取,命令控制;市场机制;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束;消纳约束,补偿收益;绿色激励;试点示范,电网企业;发电企业;新能源企业;储能企业;电力用户;交易机构,发电;输配电;用电;调度运行;辅助服务;现货市场,输配电价;市场形成价格;辅助服务价格;偏差价格,现货交易;辅助服务交易;跨省跨区交易,电费结算;辅助服务结算;分摊机制,,,储能,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,辅助服务收益,价格波动;偏差风险;并网消纳风险;政策状态风险;合规监管风险,关于修订《山东电力辅助服务市场运营规则（试行）（2020年修订版）》的通知 国家能源局派出机构 国家能源局山东监管办公室 山东 监管规则 辅助服务 辅助服务 关于修订《山东电力辅助服务市场运营规则（试行）（2020年修订版）》的通知 2020-12-31 关于修订《山东电力辅助服务市场运营规则（试行）（2020年修订版）》的通知_国家能源局山东监管办公室 设 | 2.《山东电力辅助服务市场运营规则 (试行 )(⒛⒛ 附件H。 | 《山东电力辅助服务市场运营规则(试行 )(⒛20 年修订版 )》 主要修 改条款 2.《山东电力辅助服务市场运营规则 (试行 )(⒛⒛ 年修订版 ) -2- - 3 - 附件 1 本规则制定依据为《中共中央国务院关于进一步深化电 《山东电力辅助服务市场运营规则（试行） （2020 年修订版）》主要修改条款 一、原第二条修改为： 本规则制定依据为《中共中央国务,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260427-D691BB80BC,关于简化新能源发电企业参与山东电力市场准入流程的通知,2020-12-02,,山东,监管规则,现行有效,机器抽取,命令控制;市场机制;规划引导;信息披露;监管执法,准入条件;履约约束;信息约束,试点示范,发电企业;交易机构,发电;现货市场;中长期市场,,中长期交易,分摊机制,,,,市场风险暴露;项目准入影响,,合规监管风险,关于简化新能源发电企业参与山东电力市场准入流程的通知 国家能源局派出机构 国家能源局山东监管办公室 山东 监管规则 电力市场; | 新能源 关于简化新能源发电企业参与山东电力市场准入流程的通知 2020-12-02； | OCR文本待人工复核 关于简化新能源发电企业参与山东电力市场准入流程的通知_国家能源局山东监管办公室 设为首页 工作邮箱 机构概览 动态要闻 信息公开 在线办事 互动回应 专题专栏 关于简化新能源发电企业参与山东电力市场准入流程的通知 2020-12-02 14:53 来源：国家能源局山东监管办公室 字体： 附件： 202012021452583209.pd,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260427-3923155EE0,关于征求《山东电力辅助服务市场运营规则（试行）（2020年修订版）》（征求意见稿）意见的函,2020-10-20,,山东,监管规则,征求意见,机器抽取,命令控制;市场机制;规划引导;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束;消纳约束,补偿收益;绿色激励;试点示范,电网企业;发电企业;新能源企业;储能企业;电力用户;交易机构,发电;输配电;用电;调度运行;辅助服务;现货市场,市场形成价格;辅助服务价格;偏差价格,现货交易;辅助服务交易;跨省跨区交易,电费结算;辅助服务结算;分摊机制,,,储能,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,辅助服务收益,价格波动;偏差风险;并网消纳风险;政策状态风险;合规监管风险,关于征求《山东电力辅助服务市场运营规则（试行）（2020年修订版）》（征求意见稿）意见的函 国家能源局派出机构 国家能源局山东监管办公室 山东 监管规则 辅助服务 辅助服务 关于征求《山东电力辅助服务市场运营规则（试行）（2020年修订版）》（征求意见稿）意见的函 2020-10-20； | OCR文本待人工复核 关于征求《山东电力辅助服务市场运营规则（试行）（2020年修订版）》（征求意见稿）意见的函_国家能源局山东监管办公室 设为首页 工作邮箱 机构概览 动态要闻 信息公开 在线办事 互动回应 专题专栏 关于征求《山东电力辅助服务市场运营规则（试行）（2020年修订版）》（征求意见稿）意见的函 2020-10-20 14:26 来源：国家能源 | 请于2020 年10月26日之前将有关 意见通过传真、电子邮件等形式反馈至山东能源监管办（市 场监管处)。,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260427-E4EE7C8D82,关于公布山东电力现货市场结算试运行有关市场参数的通知(试行),2020-08-05,鲁发改价格〔2019〕878号,山东,监管规则,试行,机器抽取,命令控制;市场机制;规划引导;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束,补偿收益;价格激励;试点示范,电网企业;发电企业;售电公司;电力用户;交易机构,发电;输配电;售电;用电;调度运行;辅助服务;现货市场;中长期市场,输配电价;分时电价;市场形成价格;偏差价格,辅助服务交易,电费结算;偏差结算,偏差考核,,,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,辅助服务收益,价格波动;偏差风险;并网消纳风险;政策状态风险;合规监管风险,关于公布山东电力现货市场结算试运行有关市场参数的通知(试行) 国家能源局派出机构 国家能源局山东监管办公室 山东 监管规则 现货; | 结算 关于公布山东电力现货市场结算试运行有关市场参数的通知(试行) 2020-08-05 关于公布山东电力现货市场结算试运行有关市场参数的通知(试行)_国家能源局山东监管办公室 设为首页 工作邮箱 机构概览 动态要闻 信息公开 在线办事 互动回应 专题专栏 关于公布山东电力现货市场结算试运行有关市场参数的通知(试行) 2020-08-05 16:13 来源： | 二、现货市场结算(中长期、日前、实时)电量，其交易价格、省级电网输配电价(含线损和交叉补贴)不再执行峰谷分时电价政策。,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260427-698A8D7E10,关于修订《山东省电力现货市场交易规则(试行)》《山东省电力中长期市场交易规则(试行)》《山东省电力零售市场交易规则(试行)》的通知,2020-07-31,,山东,监管规则,试行,机器抽取,命令控制;市场机制;规划引导;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束,补偿收益;价格激励;试点示范,电网企业;发电企业;售电公司;电力用户;交易机构;微电网主体,发电;输配电;售电;用电;调度运行;辅助服务;现货市场;中长期市场,输配电价;容量价格;辅助服务价格;偏差价格,中长期交易;现货交易;辅助服务交易;容量交易,电费结算;偏差结算;辅助服务结算;分摊机制,偏差考核;信用评价;信息披露考核,,微电网;电网规划,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,辅助服务收益;园区微电网,价格波动;偏差风险;并网消纳风险;政策状态风险;合规监管风险,关于修订《山东省电力现货市场交易规则(试行)》《山东省电力中长期市场交易规则(试行)》《山东省电力零售市场交易规则(试行)》的通知 国家能源局派出机构 国家能源局山东监管办公室 山东 监管规则 中长期; | 现货 关于修订《山东省电力现货市场交易规则(试行)》《山东省电力中长期市场交易规则(试行)》《山... 2020-07-31 关于修订《山东省电力现货市场交易规则(试行)》《山东省电力中长期市场交易规则(试行)》《山东省电力零售市场交易规则(试行)》的通知_国家能源局山东监管办公室 设为首页 工作邮箱 机构概览 动态要闻 信息公开 在线办事 互动回应 专题专 | 现将三个市场交易规则印发你们，请遵照执行。,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260427-FBC65BBD1E,贵州电力市场规则,2024-11-02,,南方区域,交易规则,现行有效,机器抽取,命令控制;市场机制;规划引导;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束;消纳约束,价格激励;绿色激励;试点示范,电网企业;发电企业;新能源企业;储能企业;售电公司;电力用户;交易机构;虚拟电厂;微电网主体,发电;输配电;售电;用电;调度运行;辅助服务;现货市场;中长期市场;绿电绿证,输配电价;市场形成价格;偏差价格,中长期交易;现货交易;绿电交易;辅助服务交易;需求响应;跨省跨区交易,电费结算;偏差结算;分摊机制,偏差考核;信用评价;信息披露考核,新能源消纳;能源安全,储能;电网规划;虚拟电厂,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,聚合交易;辅助服务收益;园区微电网,价格波动;偏差风险;并网消纳风险;政策状态风险;合规监管风险,贵州电力市场规则 广州电力交易中心 广州电力交易中心 南方区域 交易规则 电力市场 电力市场 贵州电力市场规则 广州电力交易中心 交易服务热线: 400-15-95598 能源监管热线: 12398 微 信 平台系统 南方区域统一电力交易平台 南方区域现货电能量交易系统 南方区域绿色电力交易系统 新闻资讯 党的声音 公司动态 媒体关注 市场研究 信息发布 最 | 原则同意由广州电力交易中心、南网总调发布 《南方区 （二） 省 （区） 内适用规则按审定发布的有关配套实施细则 域电力市场现货电能量交易实施细则（试行 V3.0）》《南方区 域电力市场现货结算实施细则（试行 V3.0）》。 | 二、关于规范开展区域市场短周期结算试运行的监管要求 （三） 其他未尽事宜暂按区域和省 （区） 有关全月结算试运 行方案规定执行。,规则词典_v1,待人工复核,2026-05-05 01:24:21
AUTO-20260427-D81BDF16D0,第20号_中华人民共和国国家发展和改革委员会令（电力市场运行基本规则）,2024-04-28,,南方区域,交易规则,现行有效,机器抽取,命令控制;市场机制;规划引导;财政金融;技术标准;信息披露;监管执法,准入条件;并网约束;履约约束;信息约束;消纳约束,补偿收益;价格激励;试点示范,电网企业;发电企业;储能企业;售电公司;电力用户;交易机构;虚拟电厂,发电;输配电;售电;用电;调度运行;辅助服务;现货市场;中长期市场;绿电绿证,输配电价;容量价格,中长期交易;现货交易;绿电交易;辅助服务交易;容量交易;需求响应,电费结算;分摊机制,信息披露考核,,储能;电网规划;虚拟电厂,收益机制明确;成本疏导;并网条件影响;市场风险暴露;项目准入影响,聚合交易;辅助服务收益,价格波动;并网消纳风险;政策状态风险;合规监管风险,第20号_中华人民共和国国家发展和改革委员会令（电力市场运行基本规则） 广州电力交易中心 广州电力交易中心 南方区域 交易规则 电力市场 电力市场 第20号_中华人民共和国国家发展和改革委员会令（电力市场运行基本规则）； | OCR文本待人工复核 广州电力交易中心 交易服务热线: 400-15-95598 能源监管热线: 12398 微 信 平台系统 南方区域统一电力交易平台 南方区域现货电能量交易系统 南方区域绿色电力交易系统 新闻资讯 党的声音 公司动态 媒体关注 市场研究 信息发布 最新通知 公示公告 市场服务 市场培训 服务承诺 常见问题解答 政策法规 法律法规 政策文件 | 2024年4月25日 --- 第 2 页 OCR --- 第一条为规范电力市场行为，依法保护市场成员的合法权益， 电力市场运行基本规则 第一章总则 第一条为规范电力市场行为，依法保护市场成员的合法权益， 保证电力市场的统一、开放、竞争、有序，按照《中共中央国务 院关于进一步深化电力体制改革的若干意见》《中共中央国务院 关于加快建设全国统一大市场的意见》等有关,规则词典_v1,待人工复核,2026-05-05 01:24:21
