复核优先级,复核原因,建议动作,质量分,地区,来源栏目,发布部门,文件标题,发布日期,命中关键词,文档类型,原文链接,来源列表页
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,华北区域,国家能源局华北监管局-通知公告,国家能源局派出机构,华北能源监管局关于印发河北南部电网火电机组供热最小运行方式（2021版）的通知 2021-11-18,2021-11-18,电网,HTML,https://hbj.nea.gov.cn/dtyw/tzgg/202309/t20230925_120339.html,https://hbj.nea.gov.cn/dtyw/tzgg/index_23.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,华北区域,国家能源局华北监管局-通知公告,国家能源局派出机构,华北能源监管局关于印发蒙西电网火电机组供热最小运行方式（2021版）的通知 2021-11-18,2021-11-18,电网,HTML,https://hbj.nea.gov.cn/dtyw/tzgg/202309/t20230925_120338.html,https://hbj.nea.gov.cn/dtyw/tzgg/index_23.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,南方区域,国家能源局南方监管局-通知公示,国家能源局派出机构,关于印发《南方能源监管局电力安全监管约谈适用操作办法》的通知 2021-04-25,2021-04-25,电力安全,HTML,https://nfj.nea.gov.cn/xwzx/tzgg/202402/t20240208_245647.html,https://nfj.nea.gov.cn/xwzx/tzgg/index_32.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,南方区域,国家能源局南方监管局-通知公示,国家能源局派出机构,关于对《广东省构建新型电力系统 推动电力高质量发展行动方案 ( 2021-2025 年）（... 2021-10-20,2021-10-20,高质量发展;新型电力系统,HTML,https://nfj.nea.gov.cn/xwzx/tzgg/202402/t20240208_245703.html,https://nfj.nea.gov.cn/xwzx/tzgg/index_28.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,南方区域,广州电力交易中心-交易规则,广州电力交易中心,南方区域绿色电力证书交易实施细则（2023年版）,,实施细则,PDF,https://www.gzpec.cn/law/jygz/202310/P020231025623801942126.pdf,https://www.gzpec.cn/law/jygz/index_2.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,四川,国家能源局四川监管办公室-通知公告,国家能源局四川监管办公室,关于免除2022年8月、9月水电企业电力中长期交易偏差考核的通知 2022-10-10,2022-10-10,中长期,HTML,https://scb.nea.gov.cn/dtyw/tzgg/202310/t20231009_134315.html,https://scb.nea.gov.cn/dtyw/tzgg/index_21.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,四川,国家能源局四川监管办公室-通知公告,国家能源局四川监管办公室,关于印发《四川省2014年减弃增发挂牌交易规则》的通知 2015-03-24,2015-03-24,交易规则,HTML,https://scb.nea.gov.cn/dtyw/tzgg/202310/t20231009_133965.html,https://scb.nea.gov.cn/dtyw/tzgg/index_43.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,四川,国家能源局四川监管办公室-通知公告,国家能源局四川监管办公室,关于印发《四川省电力用户与发电企业直接交易规则(试行)》的通知 2015-03-24,2015-03-24,交易规则,HTML,https://scb.nea.gov.cn/dtyw/tzgg/202310/t20231009_133966.html,https://scb.nea.gov.cn/dtyw/tzgg/index_43.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,四川,四川省发展和改革委员会-政策文件,四川省发展和改革委员会,关于四川电网试行需求侧市场化响应电价政策有关事项的通知,2023-04-23,电网,HTML,https://fgw.sc.gov.cn/sfgw/zcwj/2023/4/23/e765c9ee591847408a05294ada29fd8e.shtml,https://fgw.sc.gov.cn/sfgw/zcwj/list_5.shtml
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,四川,四川省发展和改革委员会-通知公告,四川省发展和改革委员会,关于调整电能替代项目输配电价政策有关事项的通知（川发改价格〔2024〕64号）,2024-02-18,输配电价,HTML,https://fgw.sc.gov.cn/sfgw/tzgg/2024/2/18/9e0e711298424a55a800c0c1bb762c88.shtml,https://fgw.sc.gov.cn/sfgw/tzgg/list_22.shtml
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,四川,四川省发展和改革委员会-通知公告,四川省发展和改革委员会,四川省能源局关于组织开展国家重点研发计划“氢能技术”“储能与智能电网技术”重点专项2025年度项目申报工...,2025-06-26,电网;智能电网,HTML,https://fgw.sc.gov.cn/sfgw/tzgg/2025/6/26/e09c6cdf18714406b3a4b8ebd5c2a231.shtml,https://fgw.sc.gov.cn/sfgw/tzgg/list_8.shtml
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,四川,四川省发展和改革委员会-通知公告,四川省发展和改革委员会,四川省能源局关于组织智能电网国家科技重大专项2025年度公开项目申报工作的通知,2025-04-16,电网;智能电网,HTML,https://fgw.sc.gov.cn/sfgw/tzgg/2025/4/16/752cc489ce4046adb6f432cbff8a8c1e.shtml,https://fgw.sc.gov.cn/sfgw/tzgg/list_10.shtml
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,天津,天津市工业和信息化局-委局文件,天津市工业和信息化局,市工业和信息化局关于调整天津市电力市场管理委员会组建方案的通知2024-05-06,2024-05-06,电力市场,HTML,https://gyxxh.tj.gov.cn/ZWGK4147/ZCWJ6355/wjwj/202405/t20240506_6617695.html,https://gyxxh.tj.gov.cn/ZWGK4147/ZCWJ6355/wjwj/index_6.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,山东,国家能源局山东监管办公室-通知公告,国家能源局派出机构,关于修订山东电网“两个细则”AGC、调峰和一次调频有关条款的通知 2016-09-02,2016-09-02,调峰;调频;电网,HTML,https://sdb.nea.gov.cn/dtyw/tzgg/202309/t20230919_110296.html,https://sdb.nea.gov.cn/dtyw/tzgg/index_13.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,山东,国家能源局山东监管办公室-通知公告,国家能源局派出机构,关于修订山东电网“两个细则”有关条款的通知 2013-05-07,2013-05-07,电网,HTML,https://sdb.nea.gov.cn/dtyw/tzgg/202309/t20230919_110095.html,https://sdb.nea.gov.cn/dtyw/tzgg/index_27.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,山东,国家能源局山东监管办公室-通知公告,国家能源局派出机构,关于修订我省风电场并网运行管理实施细则有关条款的通知 2014-06-10,2014-06-10,实施细则,HTML,https://sdb.nea.gov.cn/dtyw/tzgg/202309/t20230919_110159.html,https://sdb.nea.gov.cn/dtyw/tzgg/index_22.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,山东,国家能源局山东监管办公室-通知公告,国家能源局派出机构,关于印发《山东省发电机组并网安全性评价实施细则》的通知 2014-05-20,2014-05-20,实施细则,HTML,https://sdb.nea.gov.cn/dtyw/tzgg/202309/t20230919_110148.html,https://sdb.nea.gov.cn/dtyw/tzgg/index_23.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,山东,国家能源局山东监管办公室-通知公告,国家能源局派出机构,关于印发《山东省发电机组进入及退出商业运营管理实施细则》的通知 2012-02-01,2012-02-01,实施细则,HTML,https://sdb.nea.gov.cn/dtyw/tzgg/202309/t20230919_110033.html,https://sdb.nea.gov.cn/dtyw/tzgg/index_31.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,山东,国家能源局山东监管办公室-通知公告,国家能源局派出机构,关于印发《山东省电力安全事件监督管理规定实施细则》的通知 2014-09-02,2014-09-02,实施细则;电力安全,HTML,https://sdb.nea.gov.cn/dtyw/tzgg/202309/t20230919_110175.html,https://sdb.nea.gov.cn/dtyw/tzgg/index_21.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,山东,国家能源局山东监管办公室-通知公告,国家能源局派出机构,关于印发《山东省电力安全监管专家库管理办法(试行)》的通知 2012-04-26,2012-04-26,电力安全,HTML,https://sdb.nea.gov.cn/dtyw/tzgg/202309/t20230919_110046.html,https://sdb.nea.gov.cn/dtyw/tzgg/index_30.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,山东,国家能源局山东监管办公室-通知公告,国家能源局派出机构,关于印发《山东省电力市场监管办法（试行）》的通知 2017-12-08,2017-12-08,电力市场;市场监管,HTML,https://sdb.nea.gov.cn/dtyw/tzgg/202309/t20230919_110352.html,https://sdb.nea.gov.cn/dtyw/tzgg/index_10.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,山东,国家能源局山东监管办公室-通知公告,国家能源局派出机构,关于转发《电网安全风险管控办法(试行)》的通知 2014-05-27,2014-05-27,电网,HTML,https://sdb.nea.gov.cn/dtyw/tzgg/202309/t20230919_110156.html,https://sdb.nea.gov.cn/dtyw/tzgg/index_23.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,山东,国家能源局山东监管办公室-通知公告,国家能源局派出机构,山东省电力中长期交易规则(试行) 2017-07-18,2017-07-18,交易规则;中长期,HTML,https://sdb.nea.gov.cn/dtyw/tzgg/202309/t20230919_110345.html,https://sdb.nea.gov.cn/dtyw/tzgg/index_10.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,山西,山西省能源局-政策文件检索电力,山西省能源局,关于印发《2021年全省电力市场交易组织方案》的通知,2020-12-09,电力市场,HTML,http://nyj.shanxi.gov.cn/zfxxgk/fdzdgknr/sjwj/202310/t20231003_9418403.shtml,https://nyj.shanxi.gov.cn/trs-search/trssearch/openSearch/getZwgkList?keywords=%E7%94%B5%E5%8A%9B&pageNum=1&siteId=60&chnId=&dockind=2&position=0&sort=1&suitability=0
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,山西,山西省能源局-政策文件检索电力,山西省能源局,关于印发《2022年电力市场交易组织方案》的通知,2021-12-27,电力市场,HTML,http://nyj.shanxi.gov.cn/zfxxgk/fdzdgknr/sjwj/202310/t20231019_9418371.shtml,https://nyj.shanxi.gov.cn/trs-search/trssearch/openSearch/getZwgkList?keywords=%E7%94%B5%E5%8A%9B&pageNum=1&siteId=60&chnId=&dockind=2&position=0&sort=1&suitability=0
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,山西,山西省能源局-政策文件检索电力,山西省能源局,关于印发《山西省能源领域碳达峰实施方案》的通知,2023-04-23,碳达峰,HTML,http://nyj.shanxi.gov.cn/zfxxgk/fdzdgknr/sjwj/202311/t20231130_9436248.shtml,https://nyj.shanxi.gov.cn/trs-search/trssearch/openSearch/getZwgkList?keywords=%E7%94%B5%E5%8A%9B&pageNum=7&siteId=60&chnId=&dockind=2&position=0&sort=1&suitability=0
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,山西,山西省能源局-政策文件检索电力,山西省能源局,山西省人民政府办公厅关于进一步优化电网项目审批流程的实施意见,2025-08-02,电网,HTML,http://nyj.shanxi.gov.cn/zfxxgk/szfwj/202511/t20251125_10001938.shtml,https://nyj.shanxi.gov.cn/trs-search/trssearch/openSearch/getZwgkList?keywords=%E7%94%B5%E5%8A%9B&pageNum=5&siteId=60&chnId=&dockind=2&position=0&sort=1&suitability=0
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,山西,山西省能源局-政策文件检索电力,山西省能源局,山西省人民政府印发山西省碳达峰实施方案的通知,2023-01-05,碳达峰,HTML,http://nyj.shanxi.gov.cn/zfxxgk/szfwj/202505/t20250506_9826223.shtml,https://nyj.shanxi.gov.cn/trs-search/trssearch/openSearch/getZwgkList?keywords=%E7%94%B5%E5%8A%9B&pageNum=10&siteId=60&chnId=&dockind=2&position=0&sort=1&suitability=0
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,山西,山西省能源局-政策文件检索电力,山西省能源局,山西省能源局关于印发《2023年全省电力市场交易工作方案》的通知,2022-12-13,电力市场,HTML,http://nyj.shanxi.gov.cn/zfxxgk/fdzdgknr/gfxwj/sx_82094/202309/t20230921_9434386.shtml,https://nyj.shanxi.gov.cn/trs-search/trssearch/openSearch/getZwgkList?keywords=%E7%94%B5%E5%8A%9B&pageNum=1&siteId=60&chnId=&dockind=2&position=0&sort=1&suitability=0
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,山西,山西省能源局-政策文件检索电力,山西省能源局,山西省能源局关于印发《2023年全省电力市场交易工作方案》的通知,2022-12-13,电力市场,HTML,http://nyj.shanxi.gov.cn/zfxxgk/fdzdgknr/sjwj/202309/t20230921_9418440.shtml,https://nyj.shanxi.gov.cn/trs-search/trssearch/openSearch/getZwgkList?keywords=%E7%94%B5%E5%8A%9B&pageNum=2&siteId=60&chnId=&dockind=2&position=0&sort=1&suitability=0
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,山西,山西省能源局-政策文件检索电力,山西省能源局,山西省能源局国家能源局山西监管办公室关于印发《售电公司管理实施细则》的通知,2022-03-29,实施细则,HTML,http://nyj.shanxi.gov.cn/zfxxgk/fdzdgknr/gfxwj/xxyx_82093/202309/t20230920_9434379.shtml,https://nyj.shanxi.gov.cn/trs-search/trssearch/openSearch/getZwgkList?keywords=%E7%94%B5%E5%8A%9B&pageNum=6&siteId=60&chnId=&dockind=2&position=0&sort=1&suitability=0
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2017年11月新疆电网“两个细则”考核和补偿结果的通知 2018-11-01,2018-11-01,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116223.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_31.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2017年12月新疆电网“两个细则”考核和补偿结果的通知 2018-11-01,2018-11-01,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116224.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_31.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2018年10月新疆电网“两个细则”考核和补偿结果的通知 2019-01-24,2019-01-24,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116257.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_29.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2018年11月新疆电网“两个细则”考核和补偿结果的通知 2019-02-02,2019-02-02,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116262.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_28.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2018年12月新疆电网“两个细则”考核和补偿结果的通知 2019-03-01,2019-03-01,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116267.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_28.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2018年1月新疆电网“两个细则”考核和补偿结果的通知 2018-11-28,2018-11-28,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116233.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_30.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2018年2月新疆电网“两个细则”考核和补偿结果的通知 2018-11-28,2018-11-28,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116234.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_30.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2018年3月新疆电网“两个细则”考核和补偿结果的通知 2018-12-13,2018-12-13,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116241.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_30.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2018年4月新疆电网“两个细则”考核和补偿结果的通知 2018-12-13,2018-12-13,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116242.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_30.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2018年5月新疆电网两个细则考核和补偿结果的通知 2018-12-24,2018-12-24,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116245.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_29.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2018年6月新疆电网两个细则考核和补偿结果的通知 2018-12-24,2018-12-24,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116246.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_29.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2018年7月新疆电网“两个细则”考核和补偿结果的通知 2019-01-24,2019-01-24,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116254.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_29.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2018年8月新疆电网“两个细则”考核和补偿结果的通知 2019-01-24,2019-01-24,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116255.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_29.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2018年9月新疆电网“两个细则”考核和补偿结果的通知 2019-01-24,2019-01-24,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116256.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_29.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2019年10月新疆电网“两个细则”考核和补偿结果的通知 2020-01-09,2020-01-09,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116370.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_21.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2019年11月新疆电网“两个细则”考核和补偿结果的通知 2020-01-17,2020-01-17,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116374.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_21.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2019年12月新疆电网、天中、吉泉直流配套电源“两个细则”考核和补偿结果的通知 2020-04-09,2020-04-09,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116390.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_20.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2019年1月新疆电网“两个细则”考核和补偿结果的通知 2019-06-26,2019-06-26,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116296.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_26.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2019年2月新疆电网“两个细则”考核和补偿结果的通知 2019-06-26,2019-06-26,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116297.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_26.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2019年3月新疆电网“两个细则”考核和补偿结果的通知 2019-07-04,2019-07-04,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116302.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_26.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2019年4月新疆电网“两个细则”考核补偿结果的通知 2019-08-01,2019-08-01,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116310.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_25.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2019年5月新疆电网“两个细则”考核补偿结果的通知 2019-08-15,2019-08-15,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116314.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_25.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2019年6月新疆电网“两个细则”考核和补偿结果的通知 2019-10-17,2019-10-17,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116333.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_23.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2019年7月新疆电网“两个细则”考核补偿结果的通知 2019-11-19,2019-11-19,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116351.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_22.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2019年8月新疆电网“两个细则”考核补偿结果的通知 2019-11-19,2019-11-19,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116352.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_22.html
P1,接近自动线的规则/政策类候选,人工核验来源和有效状态后优先回填,54,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2019年9月新疆电网“两个细则”考核补偿结果的通知 2019-11-26,2019-11-26,电网,HTML,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116354.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_22.html
