年份,主题,政策数量,主要政策工具,政策强度分
2021,虚拟电厂,1,命令控制(1);市场机制(1);财政金融(1);技术标准(1);信息披露(1),7
2021,调度运行,12,信息披露(12);命令控制(10);监管执法(10);市场机制(7);财政金融(3),59
2021,辅助服务,4,命令控制(4);信息披露(4);监管执法(4);技术标准(1);市场机制(1),18
2021,输配电,31,信息披露(31);命令控制(29);监管执法(29);市场机制(26);财政金融(22),206
2022,储能,24,命令控制(24);市场机制(24);财政金融(24);信息披露(24);监管执法(24),185
2022,发电,17,命令控制(17);市场机制(17);信息披露(17);监管执法(16);财政金融(15),121
2022,售电,6,信息披露(6);命令控制(5);市场机制(5);监管执法(5);财政金融(4),35
2022,微电网,5,命令控制(5);市场机制(5);规划引导(5);财政金融(5);技术标准(5),40
2022,新型电力系统,16,命令控制(16);市场机制(16);财政金融(16);信息披露(16);监管执法(16),124
2022,源网荷储,8,命令控制(8);市场机制(8);规划引导(8);财政金融(8);技术标准(8),64
2022,现货市场,2,命令控制(2);市场机制(2);信息披露(2);监管执法(2),10
2022,用电,5,信息披露(5);监管执法(4);命令控制(3);市场机制(3);财政金融(2),24
2022,电网规划,8,命令控制(8);市场机制(8);财政金融(8);技术标准(8);信息披露(8),63
2022,虚拟电厂,9,财政金融(9);技术标准(9);信息披露(9);监管执法(9);命令控制(8),67
2022,调度运行,5,信息披露(5);命令控制(4);市场机制(4);监管执法(3);规划引导(2),25
2022,辅助服务,1,命令控制(1);市场机制(1);规划引导(1);财政金融(1);信息披露(1),7
2022,输配电,18,信息披露(18);命令控制(16);市场机制(16);监管执法(16);财政金融(14),118
2023,中长期市场,1,命令控制(1);市场机制(1);信息披露(1);监管执法(1),5
2023,储能,22,命令控制(22);信息披露(21);监管执法(21);市场机制(20);财政金融(19),153
2023,分布式光伏,1,命令控制(1);市场机制(1);规划引导(1);技术标准(1);信息披露(1),7
2023,发电,26,命令控制(26);信息披露(25);监管执法(24);市场机制(22);财政金融(21),168
2023,售电,11,信息披露(11);命令控制(10);监管执法(10);市场机制(9);技术标准(5),61
2023,微电网,2,命令控制(2);市场机制(2);规划引导(2);财政金融(2);技术标准(2),16
2023,新型电力系统,8,命令控制(8);市场机制(8);技术标准(8);信息披露(8);监管执法(8),61
2023,源网荷储,7,命令控制(7);财政金融(7);信息披露(7);市场机制(6);规划引导(6),52
2023,现货市场,1,命令控制(1);市场机制(1);技术标准(1);信息披露(1);监管执法(1),6
2023,用电,8,信息披露(8);监管执法(8);命令控制(7);市场机制(7);技术标准(5),50
2023,电网规划,9,命令控制(9);信息披露(9);市场机制(8);财政金融(8);技术标准(8),65
2023,综合,1,市场机制(1);信息披露(1),3
2023,虚拟电厂,6,财政金融(6);技术标准(6);信息披露(6);监管执法(6);命令控制(5),43
2023,调度运行,13,命令控制(13);监管执法(13);信息披露(12);市场机制(11);财政金融(9),77
2023,辅助服务,6,命令控制(6);信息披露(6);监管执法(6);市场机制(5);财政金融(5),35
2023,输配电,24,命令控制(23);信息披露(23);监管执法(22);市场机制(19);财政金融(19),146
2024,储能,41,市场机制(41);命令控制(40);信息披露(40);监管执法(40);技术标准(36),301
2024,分布式光伏,8,命令控制(8);市场机制(8);财政金融(8);技术标准(8);信息披露(8),62
2024,发电,40,命令控制(40);市场机制(39);监管执法(39);信息披露(38);财政金融(31),271
2024,售电,10,命令控制(10);信息披露(10);市场机制(9);监管执法(9);技术标准(5),60
2024,微电网,8,市场机制(8);技术标准(8);信息披露(8);监管执法(8);命令控制(7),59
2024,新型电力系统,16,市场机制(16);技术标准(16);信息披露(16);监管执法(16);命令控制(15),122
2024,源网荷储,11,市场机制(11);财政金融(11);技术标准(11);信息披露(11);监管执法(11),83
2024,现货市场,5,命令控制(5);信息披露(5);监管执法(5);市场机制(3);技术标准(2),27
2024,用电,5,命令控制(5);信息披露(5);监管执法(5);市场机制(4);技术标准(3),31
2024,电力算力协同,1,命令控制(1);市场机制(1);规划引导(1);财政金融(1);技术标准(1),8
2024,电网规划,17,命令控制(17);技术标准(17);信息披露(17);监管执法(17);市场机制(16),129
2024,虚拟电厂,24,命令控制(24);市场机制(24);信息披露(24);监管执法(24);技术标准(23),177
2024,调度运行,13,命令控制(13);市场机制(13);监管执法(13);信息披露(11);财政金融(9),80
2024,辅助服务,8,命令控制(8);市场机制(8);监管执法(8);信息披露(7);财政金融(7),49
2024,输配电,28,命令控制(28);监管执法(27);市场机制(26);信息披露(26);财政金融(21),183
2025,中长期市场,1,命令控制(1);市场机制(1);信息披露(1);监管执法(1),5
2025,储能,79,信息披露(79);命令控制(77);监管执法(76);市场机制(75);财政金融(70),576
2025,分布式光伏,16,命令控制(16);财政金融(16);信息披露(16);技术标准(14);监管执法(14),118
2025,发电,62,信息披露(61);市场机制(60);命令控制(57);监管执法(54);财政金融(42),409
2025,售电,20,市场机制(19);信息披露(19);命令控制(18);监管执法(16);技术标准(9),114
2025,微电网,22,命令控制(22);市场机制(22);技术标准(22);信息披露(22);监管执法(22),170
2025,新型电力系统,39,命令控制(39);信息披露(39);监管执法(36);市场机制(32);技术标准(32),280
2025,源网荷储,22,信息披露(22);命令控制(21);市场机制(21);监管执法(21);技术标准(19),160
2025,现货市场,5,市场机制(5);信息披露(5);命令控制(4);监管执法(4);规划引导(1),26
2025,用电,12,信息披露(11);命令控制(9);市场机制(8);监管执法(7);技术标准(6),61
2025,电力算力协同,3,命令控制(3);市场机制(3);规划引导(3);财政金融(3);技术标准(3),24
2025,电网规划,33,命令控制(33);信息披露(33);监管执法(32);技术标准(31);财政金融(28),239
2025,综合,1,命令控制(1);市场机制(1);规划引导(1);财政金融(1);技术标准(1),8
2025,虚拟电厂,35,命令控制(35);市场机制(35);信息披露(35);监管执法(34);财政金融(33),263
2025,调度运行,20,信息披露(19);市场机制(17);命令控制(16);监管执法(15);财政金融(8),109
2025,辅助服务,4,市场机制(4);信息披露(4);技术标准(3);命令控制(3);监管执法(3),23
2025,输配电,48,信息披露(48);市场机制(44);命令控制(43);监管执法(39);财政金融(30),307
2026,中长期市场,2,命令控制(2);市场机制(2);信息披露(2);监管执法(2),10
2026,储能,31,命令控制(31);市场机制(31);信息披露(31);财政金融(30);技术标准(29),226
2026,分布式光伏,5,命令控制(5);市场机制(5);财政金融(5);技术标准(5);信息披露(5),37
2026,发电,17,信息披露(17);市场机制(15);技术标准(15);命令控制(14);财政金融(14),114
2026,售电,1,命令控制(1);市场机制(1);规划引导(1);财政金融(1);技术标准(1),8
2026,微电网,11,命令控制(11);市场机制(11);财政金融(11);技术标准(11);信息披露(11),80
2026,新型电力系统,8,命令控制(8);市场机制(8);财政金融(8);技术标准(8);信息披露(8),59
2026,源网荷储,15,命令控制(15);市场机制(15);财政金融(15);技术标准(15);信息披露(15),109
2026,现货市场,3,市场机制(3);信息披露(3);监管执法(3);命令控制(2);财政金融(2),18
2026,用电,1,命令控制(1);市场机制(1);规划引导(1);信息披露(1),5
2026,电力算力协同,1,命令控制(1);市场机制(1);规划引导(1);财政金融(1);技术标准(1),8
2026,电网规划,22,命令控制(22);市场机制(22);财政金融(22);技术标准(22);信息披露(22),163
2026,虚拟电厂,15,命令控制(15);市场机制(15);财政金融(15);技术标准(15);信息披露(15),111
2026,调度运行,4,市场机制(4);信息披露(4);监管执法(3);命令控制(2);财政金融(2),21
2026,辅助服务,3,技术标准(3);信息披露(3);市场机制(1);财政金融(1);监管执法(1),12
2026,输配电,6,命令控制(6);市场机制(6);信息披露(6);财政金融(5);技术标准(5),42
未标,储能,1,命令控制(1);市场机制(1);规划引导(1);财政金融(1);技术标准(1),8
未标,发电,1,命令控制(1);市场机制(1);规划引导(1);财政金融(1);技术标准(1),8
未标,新型电力系统,1,命令控制(1);市场机制(1);规划引导(1);财政金融(1);技术标准(1),8
未标,输配电,1,命令控制(1);市场机制(1);规划引导(1);财政金融(1);技术标准(1),8
