抓取日期,来源编号,来源层级,地区,来源栏目,发布部门,文件标题,发布日期,命中关键词,原文链接,来源列表页
2026-04-24,SRC-R-003,区域监管,山东,国家能源局山东监管办公室-通知公告,国家能源局派出机构,关于公开征求《山东省电力并网运行管理实施细则(征求意见稿)》《山东省电力辅助服务管理实施... 2025-09-30,2025-09-30,辅助服务,https://sdb.nea.gov.cn/dtyw/tzgg/202509/t20250930_288340.html,https://sdb.nea.gov.cn/dtyw/tzgg/
2026-04-24,SRC-R-003,区域监管,山东,国家能源局山东监管办公室-通知公告,国家能源局派出机构,关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知 2025-07-29,2025-07-29,电力市场,https://sdb.nea.gov.cn/dtyw/tzgg/202507/t20250729_284995.html,https://sdb.nea.gov.cn/dtyw/tzgg/
2026-04-24,SRC-R-003,区域监管,山东,国家能源局山东监管办公室-通知公告,国家能源局派出机构,关于征求《山东省新能源和新型并网主体涉网安全能力提升工作方案》意见的函 2025-06-24,2025-06-24,新能源,https://sdb.nea.gov.cn/dtyw/tzgg/202506/t20250624_283284.html,https://sdb.nea.gov.cn/dtyw/tzgg/
2026-04-24,SRC-T-001,交易机构,南方区域,广州电力交易中心-交易规则,广州电力交易中心,电力市场信息披露基本规则（国能发监管〔2024〕9号）,,电力市场,https://www.gzpec.cn/law/jygz/202505/t20250516_34495.html,https://www.gzpec.cn/law/jygz/
2026-04-24,SRC-T-001,交易机构,南方区域,广州电力交易中心-交易规则,广州电力交易中心,海南电力市场规则,,电力市场,https://www.gzpec.cn/law/jygz/202505/t20250516_34492.html,https://www.gzpec.cn/law/jygz/
2026-04-24,SRC-T-001,交易机构,南方区域,广州电力交易中心-交易规则,广州电力交易中心,广西电力市场规则,,电力市场,https://www.gzpec.cn/law/jygz/202505/t20250516_34491.html,https://www.gzpec.cn/law/jygz/
2026-04-24,SRC-P-002,省级,广东,广东省能源局-通知公告,广东省能源局,广东省能源局关于江门首通新能源科技有限公司磷酸铁锂电芯及储能电源系统生产制造项目节能报告的审查意见03-04,,新能源,https://drc.gd.gov.cn/snyj/tzgg/content/post_4862693.html,https://drc.gd.gov.cn/snyj/tzgg/mindex.html
2026-04-24,SRC-T-001,交易机构,南方区域,广州电力交易中心-交易规则,广州电力交易中心,广东电力市场规则,,电力市场,https://www.gzpec.cn/law/jygz/202505/t20250516_34490.html,https://www.gzpec.cn/law/jygz/
2026-04-24,SRC-MU-004,直辖市,天津,天津市发展和改革委员会-政策法规,天津市发展和改革委员会,天津市深化新能源上网电价市场化改革实施方案.docx,,新能源,https://fzgg.tj.gov.cn/zwgk_47325/zcfg_47338/zcwjx/fgwj/202510/W020251022356486089649.docx,https://fzgg.tj.gov.cn/zwgk_47325/zcfg_47338/
2026-04-24,SRC-T-001,交易机构,南方区域,广州电力交易中心-交易规则,广州电力交易中心,发改能源规〔2025〕411号_国家发展改革委 国家能源局关于印发《电力辅助服务市场基本规则》的通知,,辅助服务,https://www.gzpec.cn/law/jygz/202504/t20250424_34448.html,https://www.gzpec.cn/law/jygz/
2026-04-24,SRC-P-033,省级,内蒙古自治区,内蒙古自治区能源局-通知公告,内蒙古自治区能源局,内蒙古自治区能源局关于公开征求《内蒙古自治区深化提升“获得电力”服务水平全面打造现代化用电营商环境行动方案(征求意见稿)》意见建议的公告,,获得电力,https://nyj.nmg.gov.cn/slh/tz/202603/t20260306_2870229.html,https://nyj.nmg.gov.cn/slh/tz/
2026-04-24,SRC-N-002,国家级,全国,国家发展改革委-规范性文件,国家发展改革委,关于深化提升“获得电力”服务水平 全面打造现代化用电营商环境的意见(发改能源规〔2025〕624号),,获得电力,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/202506/t20250603_1398199.html,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/
2026-04-24,SRC-N-001,国家级,全国,国家发展改革委-政策通知,国家发展改革委,关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号),,电力市场,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251217_1402475.html,https://www.ndrc.gov.cn/xxgk/zcfb/tz/
2026-04-24,SRC-N-001,国家级,全国,国家发展改革委-政策通知,国家发展改革委,关于完善发电侧容量电价机制的通知(发改价格〔2026〕114号),,容量电价,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202601/t20260130_1403524.html,https://www.ndrc.gov.cn/xxgk/zcfb/tz/
2026-04-24,SRC-T-001,交易机构,南方区域,广州电力交易中心-交易规则,广州电力交易中心,关于印发南方区域电力市场配套实施细则的通知,,电力市场,https://www.gzpec.cn/law/jygz/202502/t20250214_34019.html,https://www.gzpec.cn/law/jygz/
2026-04-24,SRC-N-002,国家级,全国,国家发展改革委-规范性文件,国家发展改革委,关于印发《电力辅助服务市场基本规则》的通知(发改能源规〔2025〕411号),,辅助服务,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/202504/t20250429_1397483.html,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/
2026-04-24,SRC-N-002,国家级,全国,国家发展改革委-规范性文件,国家发展改革委,关于印发《电力市场计量结算基本规则》的通知(发改能源规〔2025〕976号),,电力市场;计量结算;结算,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/202508/t20250806_1399686.html,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/
2026-04-24,SRC-N-002,国家级,全国,国家发展改革委-规范性文件,国家发展改革委,关于印发《电力中长期市场基本规则》的通知(发改能源规〔2025〕1656号),,中长期,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/202512/t20251226_1402666.html,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/
2026-04-24,SRC-T-001,交易机构,南方区域,广州电力交易中心-交易规则,广州电力交易中心,关于印发《南方区域电力市场中长期电能量交易实施细则》等5项实施细则的通知,,电力市场;中长期,https://www.gzpec.cn/law/jygz/202506/t20250624_34712.html,https://www.gzpec.cn/law/jygz/
2026-04-24,SRC-N-001,国家级,全国,国家发展改革委-政策通知,国家发展改革委,关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号),,交易规则;现货;省间,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202604/t20260424_1404861.html,https://www.ndrc.gov.cn/xxgk/zcfb/tz/
2026-04-24,SRC-N-001,国家级,全国,国家发展改革委-政策通知,国家发展改革委,关于优化集中式新能源发电企业市场报价的通知(试行)(发改能源〔2025〕1476号),,新能源,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251211_1402340.html,https://www.ndrc.gov.cn/xxgk/zcfb/tz/
2026-04-24,SRC-T-001,交易机构,南方区域,广州电力交易中心-交易规则,广州电力交易中心,云南电力市场规则,,电力市场,https://www.gzpec.cn/law/jygz/202502/t20250214_34021.html,https://www.gzpec.cn/law/jygz/
2026-04-24,SRC-MU-001,直辖市,北京,北京市发展和改革委员会-政策文件,北京市发展和改革委员会,[现行有效] 北京市发展和改革委员会关于公开征集市政府固定资产投资支持新能源供热项目的通知,,新能源,https://fgw.beijing.gov.cn/fgwzwgk/2024zcwj/bwqtwj/202603/t20260309_4552994.htm,https://fgw.beijing.gov.cn/fgwzwgk/2024zcwj/
