生成日期,资料编号,当前标题,建议标题,问题类型,置信度,建议动作,建议来源,发布部门,采集来源机构,发布日期,适用地区,来源类型,市场主题,原文链接,本地文本路径,说明
2026-04-27,AUTO-20260427-DB74AC69C2,浙江能源监管办关于开展2025年电力市场秩序突出问题专项监管的通知 2025-04-29,浙江能源监管办关于开展2025年电力市场秩序突出问题专项监管的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局浙江监管办公室,国家能源局浙江监管办公室,2025-04-29,浙江,监管规则,电力市场,https://zjb.nea.gov.cn/dtyw/tzgg/202504/P020250429365464036214.pdf,,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-5C3FEF8C0F,山西省能源局,关于印发《电力市场规则体系（V15.0）》的通知,机构名或栏目名标题;标题过短,高,建议自动修正,备注字段,山西省能源局,山西省能源局-政策文件检索电力,2024-12-30,山西,官方政策,电力市场,http://nyj.shanxi.gov.cn/zfxxgk/fdzdgknr/gfxwj/xxyx_82093/202504/t20250410_9806695.shtml,03_处理后文本\2024-12-30_山西_山西省能源局_山西省能源局.txt,备注字段中存在更像正式文件标题的内容
2026-04-27,AUTO-20260427-2A3ABE6092,浙江能源监管办关于印发2025年浙江省电力中长期交易合同示范文本的通知_国家能源局浙江监管办公室,浙江能源监管办关于印发2025年浙江省电力中长期交易合同示范文本的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局浙江监管办公室,国家能源局浙江监管办公室,2024-12-19,浙江,监管规则,中长期,https://zjb.nea.gov.cn/dtyw/tzgg/202412/t20241219_274176.html,03_处理后文本\2024-12-19_浙江_国家能源局浙江监管办公室_浙江能源监管办关于印发2025年浙江省电力中长期交易合同示范文本的通知_国家能源局浙江监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-3B4DEB2D95,浙江能源监管办 省发展改革委 省能源局关于印发《浙江电力现货市场规则》的通知 2024-04-08,浙江能源监管办 省发展改革委 省能源局关于印发《浙江电力现货市场规则》的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局浙江监管办公室,国家能源局浙江监管办公室,2024-04-08,浙江,监管规则,电力市场;现货,https://zjb.nea.gov.cn/dtyw/tzgg/202404/P020240408500060021928.pdf,03_处理后文本\2024-04-08_浙江_国家能源局浙江监管办公室_浙江能源监管办_省发展改革委_省能源局关于印发《浙江电力现货市场规则》的通知_2024-04-08.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-A5A96B278D,山西省能源局,关于印发电力市场规则体系（V14.0）的通知,机构名或栏目名标题;标题过短,高,建议自动修正,备注字段,山西省能源局,山西省能源局-政策文件检索电力,2024-01-24,山西,官方政策,电力市场,http://nyj.shanxi.gov.cn/zfxxgk/fdzdgknr/sjwj/202403/t20240311_9517331.shtml,03_处理后文本\2024-01-24_山西_山西省能源局_山西省能源局.txt,备注字段中存在更像正式文件标题的内容
2026-04-27,AUTO-20260427-98DA675CE3,山西省能源局,关于印发电力市场规则体系（V14.0）的通知,机构名或栏目名标题;标题过短,高,建议自动修正,备注字段,山西省能源局,山西省能源局-政策文件检索电力,2024-01-24,山西,官方政策,电力市场,http://nyj.shanxi.gov.cn/zfxxgk/fdzdgknr/gfxwj/sx_82094/202403/t20240311_9517329.shtml,03_处理后文本\2024-01-24_山西_山西省能源局_山西省能源局.txt,备注字段中存在更像正式文件标题的内容
2026-04-27,AUTO-20260427-C3DDFE1C05,山西省能源局,关于山西电力现货市场由试运行转正式运行的通知,机构名或栏目名标题;标题过短,高,建议自动修正,备注字段,山西省能源局,山西省能源局-政策文件检索电力,2023-12-22,山西,官方政策,现货,http://nyj.shanxi.gov.cn/zfxxgk/fdzdgknr/sjwj/202312/t20231223_9451813.shtml,03_处理后文本\2023-12-22_山西_山西省能源局_山西省能源局.txt,备注字段中存在更像正式文件标题的内容
2026-04-27,AUTO-20260427-56F605665F,关于印发《江苏省电力中长期交易规则（2023版）》的通知_国家能源局江苏监管办公室,关于印发《江苏省电力中长期交易规则（2023版）》的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局江苏监管办公室,国家能源局江苏监管办公室-通知,2023-12-08,江苏,监管规则,中长期,https://jsb.nea.gov.cn/dtyw/tz/202312/t20231220_221500.html,03_处理后文本\2023-12-08_江苏_国家能源局江苏监管办公室_关于印发《江苏省电力中长期交易规则（2023版）》的通知_国家能源局江苏监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-C4E6EA0484,山西省能源局,关于印发山西省电力市场化交易专项整治工作方案的通知,机构名或栏目名标题;标题过短,高,建议自动修正,备注字段,山西省能源局,山西省能源局-政策文件检索电力,2023-10-20,山西,官方政策,电力市场,http://nyj.shanxi.gov.cn/zfxxgk/fdzdgknr/sjwj/202312/t20231207_9440760.shtml,03_处理后文本\2023-10-20_山西_山西省能源局_山西省能源局.txt,备注字段中存在更像正式文件标题的内容
2026-04-27,AUTO-20260427-DD7C4546BF,关于征求《华东区域跨省电力中长期交易规则（修订稿）》意见的函_国家能源局浙江监管办公室,关于征求《华东区域跨省电力中长期交易规则（修订稿）》意见的函,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局浙江监管办公室,国家能源局浙江监管办公室,2022-05-27,浙江,监管规则,中长期,https://zjb.nea.gov.cn/dtyw/tzgg/202309/t20230914_75882.html,03_处理后文本\2022-05-27_浙江_国家能源局浙江监管办公室_关于征求《华东区域跨省电力中长期交易规则（修订稿）》意见的函_国家能源局浙江监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-6E98A81878,【关于国家电网有限公司省间电力现货交易规则的复函(发改办体改〔2021〕837号)】-国家发展和改革委员会,关于国家电网有限公司省间电力现货交易规则的复函(发改办体改〔2021〕837号),标题可规则清洗,高,建议自动修正,标题规则清洗,国家发展改革委,国家发展改革委-政策通知,2021-11-16,全国,官方政策,现货;省间交易,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202111/t20211116_1304017.html,03_处理后文本\2021-11-16_全国_国家发展改革委_【关于国家电网有限公司省间电力现货交易规则的复函(发改办体改〔2021〕837号)】-国家发展和改革委员会.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-9F3288D69E,关于印发《江苏省电力中长期交易规则》的通知_国家能源局江苏监管办公室,关于印发《江苏省电力中长期交易规则》的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局江苏监管办公室,国家能源局江苏监管办公室-通知,2021-02-03,江苏,监管规则,中长期,https://jsb.nea.gov.cn/dtyw/tz/202309/t20230910_32194.html,03_处理后文本\2021-02-03_江苏_国家能源局江苏监管办公室_关于印发《江苏省电力中长期交易规则》的通知_国家能源局江苏监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-A83640585B,关于印发《江苏电力市场用户可调负荷参与辅助服务市场交易规则（试行）》的通知_国家能源局江苏监管办公室,关于印发《江苏电力市场用户可调负荷参与辅助服务市场交易规则（试行）》的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局江苏监管办公室,国家能源局江苏监管办公室-通知,2020-11-10,江苏,监管规则,电力市场;辅助服务,https://jsb.nea.gov.cn/dtyw/tz/202309/t20230910_32189.html,03_处理后文本\2020-11-10_江苏_国家能源局江苏监管办公室_关于印发《江苏电力市场用户可调负荷参与辅助服务市场交易规则（试行）》的通知_国家能源局江苏监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-2C2684AFB7,关于印发《江苏电力辅助服务（调频）市场交易规则（试行）》的通知_国家能源局江苏监管办公室,关于印发《江苏电力辅助服务（调频）市场交易规则（试行）》的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局江苏监管办公室,国家能源局江苏监管办公室-通知,2020-07-03,江苏,监管规则,辅助服务,https://jsb.nea.gov.cn/dtyw/tz/202309/t20230910_32184.html,03_处理后文本\2020-07-03_江苏_国家能源局江苏监管办公室_关于印发《江苏电力辅助服务（调频）市场交易规则（试行）》的通知_国家能源局江苏监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-22A1964B41,关于印发《江苏省分布式发电市场化交易规则（试行）》的通知_国家能源局江苏监管办公室,关于印发《江苏省分布式发电市场化交易规则（试行）》的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局江苏监管办公室,国家能源局江苏监管办公室-通知,2019-12-09,江苏,监管规则,电力市场,https://jsb.nea.gov.cn/dtyw/tz/202309/t20230910_32162.html,03_处理后文本\2019-12-09_江苏_国家能源局江苏监管办公室_关于印发《江苏省分布式发电市场化交易规则（试行）》的通知_国家能源局江苏监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-B23CD79013,关于印发《江苏电力辅助服务（调峰）市场启停交易补充规则》的通知_国家能源局江苏监管办公室,关于印发《江苏电力辅助服务（调峰）市场启停交易补充规则》的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局江苏监管办公室,国家能源局江苏监管办公室-通知,2019-09-30,江苏,监管规则,辅助服务,https://jsb.nea.gov.cn/dtyw/tz/202309/t20230910_32155.html,03_处理后文本\2019-09-30_江苏_国家能源局江苏监管办公室_关于印发《江苏电力辅助服务（调峰）市场启停交易补充规则》的通知_国家能源局江苏监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
2026-04-27,AUTO-20260427-3A34896615,关于开展江苏售电企业电力市场交易规则执行情况专项监管工作的通知_国家能源局江苏监管办公室,关于开展江苏售电企业电力市场交易规则执行情况专项监管工作的通知,标题可规则清洗,高,建议自动修正,标题规则清洗,国家能源局江苏监管办公室,国家能源局江苏监管办公室-通知,2018-09-29,江苏,监管规则,电力市场,https://jsb.nea.gov.cn/dtyw/tz/202309/t20230910_32122.html,03_处理后文本\2018-09-29_江苏_国家能源局江苏监管办公室_关于开展江苏售电企业电力市场交易规则执行情况专项监管工作的通知_国家能源局江苏监管办公室.txt,当前标题可去除网站或栏目后缀等噪声
