评测编号,问题,标准依据文件,Top1资料编号,Top1标题,Top1得分,Top1命中,Top3标题,Top3命中,Top5标题,Top5命中,命中排名,标准文件是否已入库,说明
Q-001,全国统一电力市场体系建设的主要目标是什么,关于加快建设全国统一电力市场体系的指导意见,AUTO-20260424-FD9AA2BEA1,国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见,55.00,是,国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 | 关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号) | 关于推进电力源网荷储一体化和多能互补发展的指导意见(发改能源规〔2021〕280号),是,国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 | 关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号) | 关于推进电力源网荷储一体化和多能互补发展的指导意见(发改能源规〔2021〕280号) | 关于印发《电力市场计量结算基本规则》的通知(发改能源规〔2025〕976号) | 国家能源局关于印发《电力市场注册基本规则》的通知,是,1,是,
Q-012,山西电力市场现货和中长期规则有哪些核心文件,电力市场规则体系（V16.0）,AUTO-20260427-C3DDFE1C05,关于山西电力现货市场由试运行转正式运行的通知,33.00,是,关于山西电力现货市场由试运行转正式运行的通知 | 关于印发山西省电力市场化交易专项整治工作方案的通知 | 华北能源监管局关于明确2022年京津唐电网电力中长期交易有关事项的通知,是,关于山西电力现货市场由试运行转正式运行的通知 | 关于印发山西省电力市场化交易专项整治工作方案的通知 | 华北能源监管局关于明确2022年京津唐电网电力中长期交易有关事项的通知 | 华北能源监管局关于印发京津唐电网参与跨区域省间可再生能源电力现货交易差额收益分配方案的通知 | 关于印发《电力市场规则体系（V16.0）》的通知,是,1,是,
Q-013,省内交易和省间交易在规则来源上通常如何区分,跨省跨区电力应急调度管理办法,AUTO-20260424-55178B2DFC,关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号),29.00,是,关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号) | 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 | 关于国家电网有限公司省间电力现货交易规则的复函(发改办体改〔2021〕837号),是,关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号) | 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 | 关于国家电网有限公司省间电力现货交易规则的复函(发改办体改〔2021〕837号) | 关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号) | 关于完善发电侧容量电价机制的通知(发改价格〔2026〕114号),是,1,是,
Q-014,近期十五天内电力市场相关官方政策有哪些,关于修订省间电力现货交易规则的复函,AUTO-20260424-55178B2DFC,关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号),63.00,是,关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号) | 关于国家电网有限公司省间电力现货交易规则的复函(发改办体改〔2021〕837号) | 关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号),是,关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号) | 关于国家电网有限公司省间电力现货交易规则的复函(发改办体改〔2021〕837号) | 关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号) | 关于印发《电力市场计量结算基本规则》的通知(发改能源规〔2025〕976号) | 国家能源局关于印发《电力市场注册基本规则》的通知,是,1,是,
Q-015,电力市场信息披露基本规则对披露主体和披露内容有什么要求,电力市场信息披露基本规则,AUTO-20260427-E623436BEE,浙江能源监管办关于贯彻落实《电力市场信息披露基本规则》有关事项的通知,62.50,是,浙江能源监管办关于贯彻落实《电力市场信息披露基本规则》有关事项的通知 | 关于进一步做好电力市场信息披露工作的通知 | 华中能源监管局关于印发《华中区域电力市场信息披露办法》的通知,是,浙江能源监管办关于贯彻落实《电力市场信息披露基本规则》有关事项的通知 | 关于进一步做好电力市场信息披露工作的通知 | 华中能源监管局关于印发《华中区域电力市场信息披露办法》的通知 | 电力市场信息披露基本规则（国能发监管〔2024〕9号） | 关于印发《广西电力市场信息披露实施细则》的通知,是,1,是,
Q-016,高质量发展相关电网政策应优先引用哪些文件,关于促进电网高质量发展的指导意见,AUTO-20260502-8FBE71AB3F,关于新形势下配电网高质量发展的指导意见(发改能源〔2024〕187号),47.00,是,关于新形势下配电网高质量发展的指导意见(发改能源〔2024〕187号) | 关于促进电网高质量发展的指导意见(发改能源〔2025〕1710号) | 关于印发《区域电网输电价格定价办法(试行)》《跨省跨区专项工程输电价格定价办法(试行)》和《关于制定地方电网和增量配电网配电价格的指导意见》的通知(发改价格规﹝2017﹞2269号),是,关于新形势下配电网高质量发展的指导意见(发改能源〔2024〕187号) | 关于促进电网高质量发展的指导意见(发改能源〔2025〕1710号) | 关于印发《区域电网输电价格定价办法(试行)》《跨省跨区专项工程输电价格定价办法(试行)》和《关于制定地方电网和增量配电网配电价格的指导意见》的通知(发改价格规﹝2017﹞2269号) | 关于印发《上海市配电网升级改造三年行动计划 （2023－2025年）实施方案》的通知 | 关于跨电网经营区常态化电力交易机制方案的复函(发改体改〔2025〕915号),是,1,是,
Q-017,新型电力系统行动方案的主要政策依据是什么,加快构建新型电力系统行动方案,AUTO-20260502-A406C4F625,关于印发《加快构建新型电力系统行动方案(2024—2027年)》的通知(发改能源〔2024〕1128号),41.00,是,关于印发《加快构建新型电力系统行动方案(2024—2027年)》的通知(发改能源〔2024〕1128号) | 关于印发《上海市新型电力系统调节能力奖励资金管理办法》的通知 | 关于印发《新型储能规模化建设专项行动方案(2025—2027年)》的通知(发改能源〔2025〕1144号),是,关于印发《加快构建新型电力系统行动方案(2024—2027年)》的通知(发改能源〔2024〕1128号) | 关于印发《上海市新型电力系统调节能力奖励资金管理办法》的通知 | 关于印发《新型储能规模化建设专项行动方案(2025—2027年)》的通知(发改能源〔2025〕1144号) | 关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号) | 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见,是,1,是,
Q-018,四川辅助服务市场交易实施细则应引用哪份正式文件,四川电力辅助服务市场交易实施细则,AUTO-20260427-B85C17304B,关于印发《四川电力辅助服务市场交易实施细则》的通知,45.50,是,关于印发《四川电力辅助服务市场交易实施细则》的通知 | 关于公开征求《四川电力辅助服务市场交易实施细则（征求意见稿）》意见的通知 | 关于印发《四川省电力辅助服务管理实施细则》和《四川省电力并网运行管理实施细则...,是,关于印发《四川电力辅助服务市场交易实施细则》的通知 | 关于公开征求《四川电力辅助服务市场交易实施细则（征求意见稿）》意见的通知 | 关于印发《四川省电力辅助服务管理实施细则》和《四川省电力并网运行管理实施细则... | 关于印发《四川省电力辅助服务管理实施细则》和《四川省电力并网管理实施细则》的通知 2024-03-01 | 华中能源监管局 四川能源监管办关于印发《川渝一体化电力调峰辅助服务市场运营规则（试行）》的通知,是,1,是,
Q-019,新能源上网电价市场化改革的国家级依据是什么,关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知,AUTO-20260427-1E20E600C3,关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知(发改价格〔2025〕136号),57.00,是,关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知(发改价格〔2025〕136号) | 关于印发《四川省深化新能源上网电价市场化改革实施方案》的通知(川发改价格〔2025〕480号) | 天津市深化新能源上网电价市场化改革实施方案,是,关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知(发改价格〔2025〕136号) | 关于印发《四川省深化新能源上网电价市场化改革实施方案》的通知(川发改价格〔2025〕480号) | 天津市深化新能源上网电价市场化改革实施方案 | 关于印发《深化蒙西电网新能源上网电价市场化改革实施方案》的通知 | 关于印发《深化蒙东电网新能源上网电价市场化改革实施方案》的通知,是,1,是,
Q-020,输配电价定价办法相关核心文件有哪些,省级电网输配电价定价办法,AUTO-20260502-B85D7DD04E,关于印发《省级电网输配电价定价办法》的通知(发改价格规〔2020〕101号),47.00,是,关于印发《省级电网输配电价定价办法》的通知(发改价格规〔2020〕101号) | 关于印发《区域电网输电价格定价办法》的通知(发改价格规〔2020〕100号) | 关于印发输配电定价成本监审办法、省级电网输配电价定价办法、区域电网输电价格定价办法和跨省跨区专项工程输电价格定价办法的通知(发改价格规〔2025〕1490号),是,关于印发《省级电网输配电价定价办法》的通知(发改价格规〔2020〕101号) | 关于印发《区域电网输电价格定价办法》的通知(发改价格规〔2020〕100号) | 关于印发输配电定价成本监审办法、省级电网输配电价定价办法、区域电网输电价格定价办法和跨省跨区专项工程输电价格定价办法的通知(发改价格规〔2025〕1490号) | 关于第三监管周期省级电网输配电价及有关事项的通知(发改价格〔2023〕526号) | 关于核定2020～2022年省级电网输配电价的通知(发改价格规〔2020〕1508号),是,1,是,
Q-021,电网规划投资管理应引用哪个国家级文件,关于加强和规范电网规划投资管理工作的通知,AUTO-20260502-11A59453A9,关于加强和规范电网规划投资管理工作的通知(发改能源规〔2020〕816号),35.00,是,关于加强和规范电网规划投资管理工作的通知(发改能源规〔2020〕816号) | 关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号) | 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见,是,关于加强和规范电网规划投资管理工作的通知(发改能源规〔2020〕816号) | 关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号) | 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 | 关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号) | 关于完善发电侧容量电价机制的通知(发改价格〔2026〕114号),是,1,是,
Q-022,源网荷储一体化政策应优先查哪份指导意见,关于推进电力源网荷储一体化和多能互补发展的指导意见,AUTO-20260427-257CE410F0,关于推进电力源网荷储一体化和多能互补发展的指导意见(发改能源规〔2021〕280号),43.00,是,关于推进电力源网荷储一体化和多能互补发展的指导意见(发改能源规〔2021〕280号) | 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 | 关于促进电网高质量发展的指导意见(发改能源〔2025〕1710号),是,关于推进电力源网荷储一体化和多能互补发展的指导意见(发改能源规〔2021〕280号) | 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 | 关于促进电网高质量发展的指导意见(发改能源〔2025〕1710号) | 关于促进新能源消纳和调控的指导意见(发改能源〔2025〕1360号) | 关于新形势下配电网高质量发展的指导意见(发改能源〔2024〕187号),是,1,是,
Q-023,浙江电力现货市场正式规则应引用哪份文件,浙江电力现货市场规则,AUTO-20260427-3B4DEB2D95,浙江能源监管办 省发展改革委 省能源局关于印发《浙江电力现货市场规则》的通知,45.50,是,浙江能源监管办 省发展改革委 省能源局关于印发《浙江电力现货市场规则》的通知 | 浙江省发展和改革委员会 浙江省能源局 国家能源局浙江监管办公室关于浙江电力现货市场转正式... | 浙江能源监管办关于贯彻落实《电力市场信息披露基本规则》有关事项的通知,是,浙江能源监管办 省发展改革委 省能源局关于印发《浙江电力现货市场规则》的通知 | 浙江省发展和改革委员会 浙江省能源局 国家能源局浙江监管办公室关于浙江电力现货市场转正式... | 浙江能源监管办关于贯彻落实《电力市场信息披露基本规则》有关事项的通知 | 关于印发2026年浙江省电力中长期交易合同示范文本的通知 | 关于征求2026年浙江省电力中长期交易合同示范文本意见的函,是,1,是,
Q-024,浙江电力中长期交易合同示范文本如何检索,2026年浙江省电力中长期交易合同示范文本,AUTO-20260427-04351EFDD0,关于印发2026年浙江省电力中长期交易合同示范文本的通知,45.50,是,关于印发2026年浙江省电力中长期交易合同示范文本的通知 | 关于征求2026年浙江省电力中长期交易合同示范文本意见的函 | 浙江能源监管办关于印发2025年浙江省电力中长期交易合同示范文本的通知,是,关于印发2026年浙江省电力中长期交易合同示范文本的通知 | 关于征求2026年浙江省电力中长期交易合同示范文本意见的函 | 浙江能源监管办关于印发2025年浙江省电力中长期交易合同示范文本的通知 | 浙江能源监管办关于印发2022年浙江省电力中长期交易相关合同示范文本的通知 | 关于征求《华东区域跨省电力中长期交易规则（修订稿）》意见的函,是,1,是,
Q-025,南方区域新能源参与电力市场交易实施方案应如何定位,南方区域新能源参与电力市场交易实施方案,AUTO-20260425-BD09FE2823,关于印发《南方区域新能源参与电力市场交易实施方案（试行）》的通知,55.50,是,关于印发《南方区域新能源参与电力市场交易实施方案（试行）》的通知 | 广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发《广东省虚拟电厂参与电力市场交易实施方案》的通知 | 广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发广东省抽水蓄能参与电力市场交易实施方案的通知,是,关于印发《南方区域新能源参与电力市场交易实施方案（试行）》的通知 | 广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发《广东省虚拟电厂参与电力市场交易实施方案》的通知 | 广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发广东省抽水蓄能参与电力市场交易实施方案的通知 | 广东省能源局 国家能源局南方监管局关于印发广东省新型储能参与电力市场交易实施方案的通知 | 南方区域电力市场中长期电能量交易实施细则等5项实施细则,是,1,是,
Q-026,西北区域跨省电力中长期交易实施细则有哪些版本,西北区域跨省电力中长期交易实施细则,AUTO-20260427-C45458E7FC,国家能源局西北监管局关于印发《西北区域跨省电力中长期交易实施细则》的通知（全文）,73.50,是,国家能源局西北监管局关于印发《西北区域跨省电力中长期交易实施细则》的通知（全文） | 国家能源局西北监管局关于印发《西北区域跨省电力中长期交易实施细则——新型储能交易专章》的通知 | 国家能源局西北监管局关于征求《西北区域跨省电力中长期交易实施细则——新型储能交易专章（征求意见稿）》意见建议的通知,是,国家能源局西北监管局关于印发《西北区域跨省电力中长期交易实施细则》的通知（全文） | 国家能源局西北监管局关于印发《西北区域跨省电力中长期交易实施细则——新型储能交易专章》的通知 | 国家能源局西北监管局关于征求《西北区域跨省电力中长期交易实施细则——新型储能交易专章（征求意见稿）》意见建议的通知 | 国家能源局西北监管局关于公开征求《西北区域跨省电力中长期交易实施细则（征求意见稿）》意见建议的通知 | 国家能源局西北监管局关于征求《西北区域省间电力中长期市场实施细则（2026年修订版）（征求意见稿）》意见建议的通知,是,1,是,
Q-027,广东虚拟电厂参与电力市场交易应引用哪份实施方案,广东省虚拟电厂参与电力市场交易实施方案,AUTO-20260427-D2550973DB,广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发《广东省虚拟电厂参与电力市场交易实施方案》的通知,55.00,是,广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发《广东省虚拟电厂参与电力市场交易实施方案》的通知 | 广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发广东省抽水蓄能参与电力市场交易实施方案的通知 | 广东省能源局 国家能源局南方监管局关于印发广东省新型储能参与电力市场交易实施方案的通知,是,广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发《广东省虚拟电厂参与电力市场交易实施方案》的通知 | 广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发广东省抽水蓄能参与电力市场交易实施方案的通知 | 广东省能源局 国家能源局南方监管局关于印发广东省新型储能参与电力市场交易实施方案的通知 | 关于印发《南方区域新能源参与电力市场交易实施方案（试行）》的通知 | 广东省发展和改革委员会 - 广东省能源局关于做好2026年电力市场年度交易工作的通知,是,1,是,
Q-028,山东电力现货市场转正式运行应检索哪份通知,山东电力现货市场由试运行转正式运行,AUTO-20260426-2321F82FD1,关于山东电力现货市场由试运行转正式运行的通知,47.50,是,关于山东电力现货市场由试运行转正式运行的通知 | 关于征求山东电力现货市场结算试运行有关市场参数意见的公告 | 山东能源监管办 山东省发展改革委 山东省能源局关于征求《山东省电力现货市场交易规则》、《山东省电力中长期市场交易规则》、《山东省电力零售市场交易规则》(征求意见稿)意见的通知,是,关于山东电力现货市场由试运行转正式运行的通知 | 关于征求山东电力现货市场结算试运行有关市场参数意见的公告 | 山东能源监管办 山东省发展改革委 山东省能源局关于征求《山东省电力现货市场交易规则》、《山东省电力中长期市场交易规则》、《山东省电力零售市场交易规则》(征求意见稿)意见的通知 | 关于公布山东电力现货市场结算试运行有关市场参数的通知(试行) | 关于修订《山东省电力现货市场交易规则(试行)》《山东省电力中长期市场交易规则(试行)》《山东省电力零售市场交易规则(试行)》的通知,是,1,是,
Q-029,电网代理购电政策应优先引用哪些国家文件,关于组织开展电网企业代理购电工作有关事项的通知,AUTO-20260502-EC360A7FC3,关于进一步做好电网企业代理购电工作的通知(发改办价格〔2022〕1047号),49.00,是,关于进一步做好电网企业代理购电工作的通知(发改办价格〔2022〕1047号) | 关于组织开展电网企业代理购电工作有关事项的通知(发改办价格〔2021〕809号) | 关于印发《四川省电网企业代理购电工作实施方案》的通知（川发改价格〔2021〕544号）,是,关于进一步做好电网企业代理购电工作的通知(发改办价格〔2022〕1047号) | 关于组织开展电网企业代理购电工作有关事项的通知(发改办价格〔2021〕809号) | 关于印发《四川省电网企业代理购电工作实施方案》的通知（川发改价格〔2021〕544号） | 关于促进电网高质量发展的指导意见(发改能源〔2025〕1710号) | 关于跨电网经营区常态化电力交易机制方案的复函(发改体改〔2025〕915号),是,1,是,
Q-030,跨电网经营区常态化电力交易机制方案应如何检索,关于跨电网经营区常态化电力交易机制方案的复函,AUTO-20260502-A3DEF63765,关于跨电网经营区常态化电力交易机制方案的复函(发改体改〔2025〕915号),67.00,是,关于跨电网经营区常态化电力交易机制方案的复函(发改体改〔2025〕915号) | 关于促进电网高质量发展的指导意见(发改能源〔2025〕1710号) | 关于新形势下配电网高质量发展的指导意见(发改能源〔2024〕187号),是,关于跨电网经营区常态化电力交易机制方案的复函(发改体改〔2025〕915号) | 关于促进电网高质量发展的指导意见(发改能源〔2025〕1710号) | 关于新形势下配电网高质量发展的指导意见(发改能源〔2024〕187号) | 关于第三监管周期省级电网输配电价及有关事项的通知(发改价格〔2023〕526号) | 关于第三监管周期区域电网输电价格及有关事项的通知(发改价格〔2023〕532号),是,1,是,
