区域,政策数量,政策工具,适用主体,市场环节,价格机制,交易品种,规划场景,风险约束
福建,17,命令控制(17);市场机制(17);信息披露(17);监管执法(17);技术标准(13);规划引导(12),电网企业(14);交易机构(14);电力用户(14);售电公司(12);新能源企业(12);发电企业(11),输配电(15);调度运行(14);现货市场(14);用电(14);售电(13);辅助服务(13),输配电价(10);偏差价格(10);上网电价(9);市场形成价格(9);辅助服务价格(9);分时电价(6),辅助服务交易(11);中长期交易(9);现货交易(5);跨省跨区交易(5);容量交易(5);绿电交易(2),储能(7);电网规划(4);新型电力系统(2),合规监管风险(17);政策状态风险(14);偏差风险(12);并网消纳风险(12);价格波动(6)
江苏,16,命令控制(16);信息披露(16);监管执法(16);市场机制(15);财政金融(10);技术标准(10),电力用户(14);交易机构(14);售电公司(11);电网企业(10);发电企业(8);储能企业(7),用电(14);发电(12);售电(12);输配电(11);调度运行(11);辅助服务(10),输配电价(7);市场形成价格(7);偏差价格(7);分时电价(5);容量价格(5);上网电价(4),辅助服务交易(10);中长期交易(9);需求响应(4);绿电交易(3);跨省跨区交易(3);现货交易(2),储能(7);电网规划(4);源网荷储(3);微电网(3);虚拟电厂(3);新型电力系统(3),合规监管风险(16);政策状态风险(12);偏差风险(10);并网消纳风险(9);价格波动(7)
上海,15,信息披露(15);技术标准(11);市场机制(11);财政金融(10);监管执法(9);命令控制(9),电力用户(10);交易机构(10);发电企业(9);电网企业(8);储能企业(6);新能源企业(5),发电(13);调度运行(11);辅助服务(10);现货市场(9);输配电(9);用电(8),上网电价(5);容量价格(5);市场形成价格(5);分时电价(4);输配电价(4);偏差价格(2),辅助服务交易(8);现货交易(4);绿电交易(4);跨省跨区交易(4);中长期交易(3);需求响应(1),储能(6);电网规划(4);虚拟电厂(3);新型电力系统(2);电力算力协同(2);源网荷储(2),合规监管风险(11);并网消纳风险(6);政策状态风险(3);价格波动(2);偏差风险(2)
内蒙古自治区,12,信息披露(12);市场机制(11);命令控制(10);财政金融(8);监管执法(8);规划引导(6),电力用户(9);电网企业(8);发电企业(8);新能源企业(8);交易机构(8);储能企业(6),调度运行(11);输配电(9);用电(9);现货市场(9);发电(8);售电(8),市场形成价格(6);输配电价(4);分时电价(4);偏差价格(4);上网电价(4);容量价格(2),绿电交易(8);跨省跨区交易(7);中长期交易(6);现货交易(6);需求响应(4);辅助服务交易(2),分布式光伏(8);储能(6);虚拟电厂(4);源网荷储(3);电力算力协同(2);新型电力系统(2),合规监管风险(8);并网消纳风险(7);政策状态风险(7);价格波动(7);偏差风险(6)
天津,11,信息披露(11);财政金融(7);命令控制(7);市场机制(7);监管执法(6);技术标准(5),电网企业(8);售电公司(8);电力用户(7);虚拟电厂(6);发电企业(5);交易机构(5),调度运行(11);用电(8);输配电(8);售电(8);发电(7);绿电绿证(6),偏差价格(6);上网电价(5);市场形成价格(4);输配电价(1);分时电价(1),需求响应(6);绿电交易(6);中长期交易(5);跨省跨区交易(3);辅助服务交易(3);现货交易(1),储能(4);虚拟电厂(3);新型电力系统(1);源网荷储(1);微电网(1);电网规划(1),偏差风险(6);合规监管风险(5);并网消纳风险(4);价格波动(2);政策状态风险(1)
华东区域,10,命令控制(10);市场机制(10);信息披露(10);监管执法(10);财政金融(9);技术标准(7),发电企业(10);电网企业(9);新能源企业(9);电力用户(9);交易机构(9);储能企业(8),发电(10);售电(10);调度运行(10);输配电(9);用电(9);现货市场(9),市场形成价格(9);偏差价格(9);输配电价(8);分时电价(6);上网电价(4);容量价格(3),现货交易(8);辅助服务交易(8);跨省跨区交易(8);中长期交易(7);绿电交易(6);需求响应(6),储能(8);虚拟电厂(6);电网规划(4);微电网(3);分布式光伏(2);源网荷储(1),偏差风险(10);合规监管风险(10);并网消纳风险(9);价格波动(8);政策状态风险(6)
广东,8,命令控制(8);市场机制(8);规划引导(8);财政金融(8);信息披露(8);监管执法(8),储能企业(7);交易机构(7);电网企业(6);发电企业(6);电力用户(5);新能源企业(4),输配电(8);发电(7);调度运行(7);用电(6);现货市场(6);中长期市场(6),市场形成价格(4);偏差价格(4);分时电价(3);输配电价(3);容量价格(1);上网电价(1),中长期交易(5);辅助服务交易(4);绿电交易(3);需求响应(3);现货交易(2);跨省跨区交易(2),储能(7);新型电力系统(4);分布式光伏(3);虚拟电厂(3);源网荷储(1);微电网(1),合规监管风险(8);并网消纳风险(7);偏差风险(6);价格波动(4);政策状态风险(2)
北京,2,命令控制(2);市场机制(2);规划引导(2);财政金融(2);信息披露(2);监管执法(2),新能源企业(2);储能企业(2);电网企业(1);电力用户(1);虚拟电厂(1);微电网主体(1),发电(2);调度运行(2);现货市场(2);绿电绿证(2);输配电(1);用电(1),输配电价(1),,储能(2);新型电力系统(1);源网荷储(1);微电网(1);电力算力协同(1);虚拟电厂(1),政策状态风险(2);合规监管风险(2);并网消纳风险(1)
贵州,2,命令控制(2);市场机制(2);信息披露(2);监管执法(2);财政金融(1);技术标准(1),电网企业(1);发电企业(1);储能企业(1);电力用户(1);交易机构(1);虚拟电厂(1),发电(1);输配电(1);售电(1);用电(1);调度运行(1);辅助服务(1),输配电价(1);市场形成价格(1);容量价格(1);辅助服务价格(1);偏差价格(1),中长期交易(1);辅助服务交易(1);容量交易(1);需求响应(1),新型电力系统(1);源网荷储(1);储能(1);电网规划(1);虚拟电厂(1),政策状态风险(2);合规监管风险(2);价格波动(1);偏差风险(1);并网消纳风险(1)
湖北,1,命令控制(1);市场机制(1);财政金融(1);技术标准(1);信息披露(1);监管执法(1),电网企业(1);发电企业(1);新能源企业(1);储能企业(1);售电公司(1);电力用户(1),发电(1);输配电(1);售电(1);用电(1);调度运行(1);辅助服务(1),输配电价(1);分时电价(1);市场形成价格(1);偏差价格(1),中长期交易(1);现货交易(1);绿电交易(1);辅助服务交易(1);需求响应(1);跨省跨区交易(1),源网荷储(1);微电网(1);储能(1);电网规划(1);分布式光伏(1);虚拟电厂(1),价格波动(1);偏差风险(1);并网消纳风险(1);政策状态风险(1);合规监管风险(1)
重庆,1,命令控制(1);市场机制(1);规划引导(1);财政金融(1);技术标准(1);信息披露(1),,,,,,合规监管风险(1)
